"V1","V2","V3","V4","V5","V6"
0.2,0.2,0.1,0.125,0.18,0.12
0.2,0.25,0.3,0.25,0.14,0.16
0,0.05,0.233333333333333,0.25,0.18,0.28
0.2,0.35,0.2,0.175,0.2,0.23
0.2,0.2,0.2,0.2,0.16,0.15
0,0.25,0.2,0.1,0.24,0.2
0.2,0.2,0.133333333333333,0.175,0.2,0.21
0.2,0.2,0.2,0.175,0.08,0.19
0.1,0.05,0.166666666666667,0.2,0.16,0.16
0.1,0.35,0.3,0.225,0.18,0.15
0.2,0.35,0.3,0.125,0.14,0.24
0.1,0.35,0.233333333333333,0.075,0.18,0.22
0.1,0.3,0.133333333333333,0.175,0.16,0.18
0.2,0.15,0.266666666666667,0.125,0.28,0.2
0.2,0.6,0.2,0.2,0.28,0.21
0.4,0.2,0.133333333333333,0.175,0.1,0.21
0.2,0.15,0.166666666666667,0.125,0.18,0.27
0.4,0.15,0.233333333333333,0.125,0.24,0.25
0.3,0.15,0.166666666666667,0.125,0.18,0.26
0.3,0.25,0.3,0.15,0.22,0.19
0.3,0.1,0.2,0.225,0.26,0.13
0.1,0.1,0.3,0.15,0.12,0.14
0.1,0.15,0.166666666666667,0.325,0.08,0.15
0.2,0.3,0.166666666666667,0.1,0.1,0.23
0.3,0.2,0.333333333333333,0.15,0.24,0.17
0.3,0.1,0.3,0.175,0.2,0.17
0.2,0.2,0.2,0.125,0.18,0.14
0.1,0.2,0.2,0.25,0.26,0.2
0.2,0.25,0.133333333333333,0.125,0.18,0.2
0.2,0.2,0.133333333333333,0.175,0.14,0.22
0.2,0.25,0.0333333333333333,0.25,0.18,0.23
0.1,0.35,0.266666666666667,0.1,0.18,0.24
0.1,0.2,0.133333333333333,0.225,0.24,0.25
0.5,0.15,0.233333333333333,0.35,0.2,0.17
0,0.15,0.3,0.125,0.14,0.18
0.1,0.1,0.2,0.15,0.26,0.21
0.2,0.3,0.366666666666667,0.275,0.18,0.14
0.2,0.2,0.3,0.2,0.14,0.27
0.2,0.2,0.133333333333333,0.175,0.2,0.18
0.1,0.2,0.166666666666667,0.2,0.14,0.15
0.3,0.3,0.3,0.075,0.24,0.16
0.2,0.15,0.2,0.15,0.26,0.15
0.3,0.15,0.266666666666667,0.15,0.24,0.22
0.2,0.25,0.0666666666666667,0.2,0.24,0.16
0.3,0.15,0.233333333333333,0.225,0.22,0.24
0,0.1,0.0333333333333333,0.275,0.22,0.15
0.2,0.2,0.1,0.25,0.18,0.18
0.3,0.3,0.266666666666667,0.125,0.16,0.14
0.3,0.3,0.233333333333333,0.175,0.16,0.17
0.1,0.05,0.166666666666667,0.15,0.22,0.21
0.3,0.2,0.3,0.175,0.26,0.23
0.1,0.35,0.166666666666667,0.075,0.14,0.21
0.1,0.2,0.166666666666667,0.175,0.2,0.14
0.2,0,0.133333333333333,0.3,0.28,0.2
0.3,0.25,0.133333333333333,0.2,0.12,0.2
0.2,0.1,0.2,0.2,0.18,0.2
0.2,0.15,0.1,0.175,0.24,0.2
0.3,0.25,0.233333333333333,0.25,0.24,0.18
