mean,group
5999.95,n=20
2729.2,n=20
6626.6,n=20
8308.65,n=20
5017.85,n=20
6551.6,n=20
4051.2,n=20
10910.05,n=20
6279.45,n=20
7459.75,n=20
4220.35,n=20
6720.95,n=20
2876.1,n=20
8067.4,n=20
5689.6,n=20
6871.3,n=20
4749.6,n=20
5499.35,n=20
5099.4,n=20
8074.3,n=20
3093.8,n=20
7835.8,n=20
8338.35,n=20
6431.15,n=20
5431.65,n=20
4441.5,n=20
6799.7,n=20
7562.9,n=20
3787.7,n=20
4679.3,n=20
5544.75,n=20
5357.4,n=20
5092.3,n=20
5329.05,n=20
4872.3,n=20
8674.75,n=20
5909.7,n=20
7361.55,n=20
4477.95,n=20
6100.35,n=20
2907.25,n=20
2980.75,n=20
6181.8,n=20
5824.85,n=20
7312.7,n=20
6829.55,n=20
7171.4,n=20
4609.05,n=20
5563.25,n=20
7851.7,n=20
4439.4,n=20
5103.4,n=20
4368.95,n=20
4760.6,n=20
6867.6,n=20
4266.6,n=20
6601.4,n=20
5885.45,n=20
5210.55,n=20
4476.2,n=20
4994,n=20
4567.4,n=20
4437.85,n=20
4009,n=20
7010.8,n=20
3770.9,n=20
4953.95,n=20
6919.25,n=20
7037.15,n=20
6906.75,n=20
5981.25,n=20
4094.5,n=20
5882.55,n=20
4465.75,n=20
4076.4,n=20
7233.15,n=20
3294,n=20
5119.65,n=20
2781.5,n=20
4877.5,n=20
5030.35,n=20
8982.65,n=20
6051.6,n=20
4386.7,n=20
6870.25,n=20
7041.5,n=20
4694,n=20
3800.1,n=20
7543.45,n=20
5248.8,n=20
7353.55,n=20
5038.3,n=20
6261.05,n=20
5005.5,n=20
4836.4,n=20
4651.75,n=20
4142.6,n=20
6388.6,n=20
4684,n=20
4146.95,n=20
5763.1,n=20
5358.75,n=20
7948,n=20
5942.35,n=20
4681.95,n=20
3518.6,n=20
3485.45,n=20
5874.4,n=20
7209.1,n=20
4850.35,n=20
6686.25,n=20
5430.3,n=20
4520.7,n=20
9076,n=20
7117.3,n=20
8069.75,n=20
7269.65,n=20
4299.05,n=20
4091.8,n=20
5226.45,n=20
2649.6,n=20
6130.25,n=20
5914.25,n=20
7351.75,n=20
3939.55,n=20
4726.05,n=20
8562.95,n=20
5257.35,n=20
6088.65,n=20
3110.65,n=20
5430.4,n=20
6017.2,n=20
7172.7,n=20
4783,n=20
5849.85,n=20
5034,n=20
3686.05,n=20
5651.5,n=20
4696.05,n=20
6692.25,n=20
6911.65,n=20
4600.15,n=20
4780.25,n=20
4639.4,n=20
4272.9,n=20
5362,n=20
9423.15,n=20
7299.5,n=20
2634.85,n=20
5892.05,n=20
10294.3,n=20
4379.3,n=20
4659,n=20
5685.35,n=20
3640.75,n=20
4602.7,n=20
5645.65,n=20
5525.35,n=20
5483.15,n=20
4015.2,n=20
5237.2,n=20
9141.95,n=20
4811,n=20
4938.5,n=20
9805.7,n=20
4679.55,n=20
4385.55,n=20
