"county","bachelors_degree","who_won_2012","Predicted_Lead_for_Hillary","Actual_lead_Hillary"
"Alachua",0.208,"Obama",10,0.225194990104
"Baker",0.067,"MRomney",0,-0.647617539972
"Bay",0.143,"MRomney",8,-0.462656768138
"Bradford",0.074,"MRomney",-1,-0.495040502562
"Brevard",0.168,"MRomney",2,-0.197542764613
"Broward",0.194,"Obama",2,0.350537226693
"Calhoun",0.069,"MRomney",-3,-0.562221855942
"Charlotte",0.133,"MRomney",-7,-0.277970993428
"Citrus",0.108,"MRomney",-12,-0.397185576077
"Clay",0.163,"MRomney",11,-0.44310521516
"Collier",0.193,"MRomney",19,-0.260144863787
"Columbia",0.084,"MRomney",1,-0.444661276833
"DeSoto",0.066,"MRomney",-1,-0.277204720751
"Dixie",0.053,"MRomney",-8,-0.632046653707
"Duval",0.182,"MRomney",8,-0.015006974021
"Escambia",0.157,"MRomney",8,-0.206161903317
"Flagler",0.153,"MRomney",-4,-0.205859300159
"Franklin",0.107,"MRomney",0,-0.396635015825
"Gadsden",0.099,"Obama",0,0.37469994112
"Gilchrist",0.079,"MRomney",-3,-0.627583749109
"Glades",0.063,"MRomney",-7,-0.396096440873
"Gulf",0.11,"MRomney",6,-0.495260337958
"Hamilton",0.079,"MRomney",2,-0.282516969363
"Hardee",0.073,"MRomney",8,-0.407945097004
"Hendry",0.065,"MRomney",12,-0.142445524942
"Hernando",0.108,"MRomney",-13,-0.289854918085
"Highlands",0.099,"MRomney",-2,-0.320428173462
"Hillsborough",0.19,"Obama",11,0.068048908368
"Holmes",0.069,"MRomney",5,-0.778744415707
"Indian River",0.167,"MRomney",6,-0.24490281237
"Jackson",0.092,"MRomney",4,-0.373767681097
"Jefferson",0.097,"Obama",-2,-0.0514330585
"Lafayette",0.076,"MRomney",7,-0.675555555555
"Lake",0.133,"MRomney",-1,-0.231262286784
"Lee",0.155,"MRomney",5,-0.20385700298
"Leon",0.251,"Obama",10,0.25116998519
"Levy",0.08,"MRomney",-7,-0.447513812155
"Liberty",0.076,"MRomney",5,-0.573899848255
"Madison",0.061,"MRomney",-3,-0.155592143949
"Manatee",0.161,"MRomney",3,-0.171492429462
"Marion",0.109,"MRomney",-4,-0.262211651432
"Martin",0.192,"MRomney",8,-0.268529641596
"Miami-Dade",0.166,"Obama",29,0.295646131996
"Monroe",0.187,"Obama",2,-0.0691898006310001
"Nassau",0.148,"MRomney",7,-0.502224036788
"Okaloosa",0.165,"MRomney",17,-0.477631958035
"Okeechobee",0.07,"MRomney",-7,-0.395319835681
"Orange",0.199,"Obama",12,0.246405276658
"Osceola",0.127,"Obama",4,0.25028396711
"Palm Beach",0.204,"Obama",2,0.153140048841
"Pasco",0.137,"MRomney",-9,-0.215705897497
"Pinellas",0.18,"Obama",-6,-0.011024983724
"Polk",0.126,"MRomney",-1,-0.14105021351
"Putnam",0.079,"MRomney",-6,-0.366072522357
"Santa Rosa",0.173,"MRomney",14,-0.534449629426
"Sarasota",0.178,"MRomney",-1,-0.115627830851
"Seminole",0.221,"MRomney",12,-0.016285091609
"St. Johns",0.273,"MRomney",21,-0.334301132032
"St. Lucie",0.122,"Obama",-6,-0.024415374011
"Sumter",0.134,"MRomney",5,-0.392581768842
"Suwannee",0.067,"MRomney",-3,-0.552931726908
"Taylor",0.062,"MRomney",1,-0.514495096455
"Union",0.075,"MRomney",7,-0.624099771649
"Volusia",0.134,"MRomney",-6,-0.130501260065
"Wakulla",0.105,"MRomney",-1,-0.401394681961
"Walton",0.167,"MRomney",13,-0.561220536964
"Washington",0.083,"MRomney",2,-0.571518305815
