county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,polls_2012,polls_2016,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips,X
Alachua,0.013,244106,0.351,0.274,0.168,1.403,0.484,0.516,"42,045",0.082,0.407,0.103,0.208,0.199,3.032,0.696,"131,246","125,425","5,821",4.4,68%,N/A,28.60%,62.10%,30%,N/A,40.10%,35.84%,"81,047","47,943","3,920",0.592695,R,10,D,0.6,0.39,D,0.577,0.404,12001,NA
Baker,0.001,26596,0.21,0.346,0.174,1.42,0.522,0.478,"46,865",0.196,0.635,0.061,0.067,0.042,2.127,0.837,"12,245","11,531",714,5.8,55%,N/A,12.90%,34.90%,44%,N/A,68.10%,62.31%,"5,783","7,350",183,0.363015,R,0,R,0.21,0.78,R,0.203,0.788,12003,NA
Bay,0.009,"168,297.00",0.204,0.343,0.212,1.526,0.495,0.505,"47,274",0.125,0.557,0.103,0.143,0.073,2.485,0.822,"88,653","83,626","5,027",5.7,50%,N/A,10.80%,36.30%,49%,N/A,72.60%,60.56%,"31,087","59,102","2,530",0.343686,R,8,R,0.29,0.7,R,0.275,0.71,12005,NA
Bradford,0.002,"28,908.00",0.211,0.349,0.222,1.575,0.558,0.442,"40,481",0.239,0.582,0.075,0.074,0.03,2.074,0.764,"12,475","11,856",619,5,50%,N/A,16.90%,39.50%,49%,N/A,64.30%,57.64%,"6,429","7,109",254,0.416758,R,-1,R,0.29,0.7,R,0.285,0.705,12007,NA
Brevard,0.03,"541,331.00",0.161,0.332,0.284,1.677,0.489,0.511,"48,483",0.095,0.53,0.108,0.168,0.1,2.651,0.83,"268,840","250,742","18,098",6.7,60%,N/A,16.10%,50.90%,39%,N/A,54.30%,45.60%,"129,065","170,284","14,390",0.421475,R,2,R,0.44,0.55,R,0.429,0.556,12009,NA
Broward,0.094,"1,739,708.00",0.194,0.36,0.203,1.523,0.485,0.515,"51,574",0.121,0.483,0.095,0.194,0.108,2.688,0.631,"1,006,721","950,763","55,958",5.6,73%,N/A,31.60%,69.60%,26%,N/A,31.70%,29.00%,"579,237","252,302","17,996",0.610133,R,2,D,0.67,0.32,D,0.671,0.322,12011,NA
Calhoun,0.001,"14,339.00",0.211,0.239,0.223,1.358,0.545,0.455,"34,053",0.267,0.592,0.049,0.069,0.023,1.989,0.808,"5,757","5,439",318,5.5,65%,N/A,13.80%,45.40%,34%,N/A,64.30%,50.31%,"5,451","2,143",85,0.49311,R,-3,R,0.29,0.69,R,0.269,0.706,12013,NA
Charlotte,0.009,"160,412.00",0.112,0.284,0.452,2.036,0.486,0.514,"44,265",0.109,0.592,0.09,0.133,0.076,2.475,0.9,"69,531","63,728","5,803",8.3,57%,N/A,11.50%,45.30%,42%,N/A,51.90%,50.81%,"35,749","55,471","5,288",0.400178,R,-7,R,0.46,0.53,R,0.423,0.565,12015,NA
Citrus,0.008,"141,852.00",0.111,0.293,0.425,1.972,0.483,0.517,"38,109",0.131,0.62,0.081,0.108,0.06,2.346,0.93,"56,616","51,889","4,727",8.3,58%,N/A,11.50%,47.60%,39%,N/A,49.50%,48.34%,"30,153","48,022","3,436",0.394813,R,-12,R,0.41,0.57,R,0.384,0.602,12017,NA
Clay,0.01,"187,657.00",0.178,0.353,0.19,1.454,0.491,0.509,"59,103",0.099,0.555,0.109,0.163,0.074,2.558,0.818,"95,993","90,706","5,287",5.5,60%,N/A,11.30%,33.10%,39%,N/A,70%,63.57%,"31,359","78,831","3,838",0.315202,R,11,R,0.28,0.71,R,0.266,0.723,12019,NA
Collier,0.018,"315,928.00",0.149,0.29,0.353,1.788,0.492,0.508,"56,250",0.142,0.46,0.075,0.193,0.13,2.709,0.839,"148,368","137,814","10,554",7.1,52%,N/A,8.50%,38.20%,46%,N/A,63.70%,59.37%,"45,115","99,502","4,446",0.345257,R,19,R,0.38,0.61,R,0.346,0.646,12021,NA
Columbia,0.004,"66,999.00",0.203,0.325,0.231,1.546,0.516,0.484,"39,194",0.156,0.609,0.094,0.084,0.057,2.277,0.779,"31,560","29,763","1,797",5.7,51%,N/A,16%,40.30%,48%,N/A,62.10%,56.60%,"14,464","15,915",895,0.392582,R,1,R,0.33,0.66,R,0.311,0.677,12023,NA
DeSoto,0.002,"34,459.00",0.209,0.3,0.243,1.538,0.564,0.436,"36,114",0.294,0.564,0.043,0.066,0.034,1.985,0.662,"14,778","13,758","1,020",6.9,55%,N/A,15.70%,48.10%,44%,N/A,51.50%,48.32%,"7,446","4,921",236,0.46884,R,-1,R,0.43,0.55,R,0.422,0.565,12027,NA
Dixie,0.001,"16,108.00",0.154,0.358,0.268,1.674,0.543,0.457,"35,000",0.209,0.659,0.058,0.053,0.022,2.023,0.888,"5,496","5,080",416,7.6,56%,N/A,17.30%,40.40%,41%,N/A,57.70%,55.74%,"4,751","3,506",225,0.42026,R,-8,R,0.26,0.71,R,0.258,0.726,12029,NA
Duval,0.048,"853,077.00",0.23,0.337,0.175,1.429,0.485,0.515,"47,582",0.116,0.523,0.097,0.182,0.083,2.596,0.609,"446,829","418,438","28,391",6.4,54%,N/A,27%,52.70%,45%,N/A,53.50%,44.35%,"233,039","216,645","16,769",0.480204,R,8,R,0.49,0.51,R,0.477,0.513,12031,NA
Escambia,0.017,"299,993.00",0.224,0.314,0.21,1.482,0.497,0.503,"44,883",0.115,0.52,0.126,0.157,0.082,2.571,0.689,"138,002","129,494","8,508",6.2,50%,N/A,18.80%,44.70%,49%,N/A,56.80%,53.08%,"70,785","91,864","5,268",0.414639,R,8,R,0.4,0.59,R,0.391,0.596,12033,NA
Flagler,0.005,"93,430.00",0.133,0.308,0.348,1.793,0.479,0.521,"47,733",0.102,0.576,0.089,0.153,0.081,2.538,0.823,"31,935","28,769","3,166",9.9,61%,N/A,20.10%,52.00%,38%,N/A,52.30%,45.03%,"25,015","30,944","1,867",0.433226,R,-4,D,0.5,0.49,R,0.458,0.532,12035,NA
