county,population_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,X,polls_2016,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips
Adams,0.002,0.164,0.344,0.215,1.497,0.494,0.506,34282,0.668,0.257,0.046,0.03,NA,1.44,0.977,"13,185","11,958","1,227",9.3,46,N/A,27,34.71,54,N/A,73,56.71,NA,NA,NA,0.358894316,NA,-20,R,0.365,0.606,R,0.358,0.617,39001
Allen,0.009,0.189,0.333,0.203,1.464,0.503,0.497,43194,0.468,0.388,0.075,0.069,NA,1.745,0.838,"51,638","47,826","3,812",7.4,46,N/A,32,35.84,54,N/A,68,59.16,NA,NA,NA,0.367767341,NA,NA,R,0.387,0.593,R,0.371,0.61,39003
Ashland,0.005,0.179,0.302,0.222,1.449,0.487,0.513,44996,0.431,0.399,0.078,0.092,NA,1.831,0.973,"27,190","25,163","2,027",7.5,46,N/A,29,32.57,54,N/A,71,58.02,NA,NA,NA,0.347274206,NA,-9,R,0.369,0.602,R,0.34,0.638,39005
Ashtabula,0.009,0.165,0.256,0.219,1.334,0.499,0.501,41075,0.481,0.395,0.07,0.055,NA,1.701,0.927,"49,005","45,083","3,922",8,62,N/A,49,50.23,38,N/A,51,40.64,NA,NA,NA,0.487038448,NA,-32,D,0.555,0.42,D,0.551,0.424,39007
Athens,0.006,0.337,0.258,0.143,1.282,0.502,0.498,33836,0.422,0.333,0.097,0.148,NA,1.971,0.918,"30,777","28,723","2,054",6.7,70,N/A,65,63.06,30,N/A,35,28.8,NA,NA,NA,0.618383858,NA,-31,D,0.663,0.312,D,0.66,0.308,39009
Auglaize,0.004,0.162,0.352,0.211,1.499,0.497,0.503,52276,0.46,0.413,0.077,0.051,NA,1.721,0.978,"26,868","25,405","1,463",5.4,40,N/A,23,22.93,60,N/A,77,69.78,NA,NA,NA,0.314561046,NA,NA,R,0.286,0.697,R,0.249,0.732,39011
Belmont,0.006,0.178,0.361,0.243,1.629,0.505,0.495,41676,0.554,0.355,0.049,0.042,NA,1.579,0.94,"33,285","31,257","2,028",6.1,66,N/A,51,46.68,34,N/A,49,44.65,NA,NA,NA,0.472621087,NA,NA,D,0.501,0.474,R,0.447,0.529,39013
Brown,0.004,0.165,0.36,0.202,1.491,0.494,0.506,45807,0.588,0.321,0.051,0.039,NA,1.539,0.975,"21,758","20,099","1,659",7.6,49,N/A,26,33.58,51,N/A,74,53.19,NA,NA,NA,0.359509997,NA,NA,R,0.372,0.605,R,0.366,0.614,39015
Butler,0.032,0.201,0.342,0.172,1.401,0.49,0.51,56253,0.522,0.32,0.073,0.085,NA,1.721,0.86,"191,057","179,773","11,284",5.9,43,N/A,29,36.18,57,N/A,71,56.8,NA,NA,NA,0.38796992,NA,NA,R,0.379,0.605,R,0.366,0.617,39017
Carroll,0.003,0.147,0.369,0.236,1.593,0.501,0.499,43127,0.52,0.379,0.058,0.043,NA,1.624,0.978,"13,943","12,883","1,060",7.6,56,N/A,40,38.44,44,N/A,60,50.17,NA,NA,NA,0.391610059,NA,-26,R,0.459,0.507,R,0.417,0.551,39019
Champaign,0.003,0.165,0.351,0.208,1.491,0.497,0.503,50214,0.472,0.412,0.069,0.047,NA,1.691,0.947,"20,481","19,056","1,425",7,47,N/A,31,35.17,53,N/A,69,56.46,NA,NA,NA,0.360019213,NA,NA,R,0.39,0.588,R,0.381,0.598,39021
Clark,0.012,0.173,0.339,0.226,1.529,0.484,0.516,43684,0.492,0.361,0.075,0.072,NA,1.727,0.863,"71,071","66,324","4,747",6.7,53,N/A,40,47,47,N/A,60,46.42,NA,NA,NA,0.438325125,NA,NA,R,0.477,0.502,R,0.487,0.495,39023
Clermont,0.017,0.175,0.37,0.175,1.44,0.493,0.507,60590,0.567,0.308,0.07,0.055,NA,1.613,0.959,"106,546","100,271","6,275",5.9,39,N/A,22,30.75,61,N/A,78,60.01,NA,NA,NA,0.354539302,NA,NA,R,0.33,0.653,R,0.316,0.665,39025
Clinton,0.004,0.178,0.344,0.197,1.457,0.489,0.511,46443,0.445,0.393,0.086,0.077,NA,1.797,0.947,"23,409","21,995","1,414",6,59,N/A,24,31.26,41,N/A,76,61.17,NA,NA,NA,0.331924548,NA,NA,R,0.339,0.642,R,0.318,0.66,39027
Columbiana,0.009,0.166,0.359,0.234,1.586,0.502,0.498,41870,0.53,0.36,0.061,0.048,NA,1.625,0.955,"52,927","49,094","3,833",7.2,52,N/A,42,43.61,48,N/A,58,46.82,NA,NA,NA,0.41157291,NA,NA,R,0.449,0.525,R,0.429,0.547,39029
Coshocton,0.003,0.166,0.347,0.223,1.529,0.493,0.507,41885,0.482,0.396,0.072,0.051,NA,1.694,0.97,"17,172","15,700","1,472",8.6,49,N/A,40,40.39,51,N/A,60,50.27,NA,NA,NA,0.401082132,NA,-27,R,0.454,0.512,R,0.44,0.532,39031
Crawford,0.004,0.159,0.346,0.241,1.574,0.485,0.515,41877,0.443,0.417,0.076,0.064,NA,1.761,0.972,"21,916","20,017","1,899",8.7,70,N/A,33,36.26,30,N/A,67,56.27,NA,NA,NA,0.356883619,NA,-22,R,0.391,0.58,R,0.378,0.597,39033
Cuyahoga,0.112,0.185,0.347,0.215,1.524,0.475,0.525,43861,0.464,0.331,0.094,0.111,NA,1.852,0.636,"644,172","604,178","39,994",6.2,70,N/A,59,65.74,30,N/A,41,25.72,NA,NA,NA,0.59992767,NA,NA,D,0.687,0.3,D,0.693,0.295,39035
Darke,0.005,0.156,0.341,0.23,1.528,0.49,0.51,44311,0.5,0.385,0.066,0.048,NA,1.66,0.978,"27,925","26,125","1,800",6.4,41,N/A,25,25.98,59,N/A,75,67.23,NA,NA,NA,0.317895469,NA,NA,R,0.308,0.669,R,0.268,0.712,39037
Defiance,0.003,0.177,0.342,0.209,1.488,0.493,0.507,46377,0.453,0.393,0.084,0.07,NA,1.771,0.928,"20,647","19,100","1,547",7.5,49,N/A,36,39.62,51,N/A,64,51.82,NA,NA,NA,0.386393149,NA,-14,R,0.437,0.541,R,0.422,0.555,39039
Delaware,0.014,0.153,0.386,0.151,1.378,0.493,0.507,90499,0.387,0.39,0.108,0.115,NA,1.951,0.897,"92,156","87,875","4,281",4.6,42,N/A,29,37.65,58,N/A,71,55.68,NA,NA,NA,0.384286528,NA,19,R,0.396,0.592,R,0.377,0.609,39041
Erie,0.007,0.158,0.356,0.244,1.602,0.49,0.51,49960,0.431,0.4,0.089,0.08,NA,1.818,0.87,"42,664","39,548","3,116",7.3,64,N/A,46,52.71,36,N/A,54,39.22,NA,NA,NA,0.503939292,NA,NA,D,0.559,0.421,D,0.552,0.429,39043
Fairfield,0.013,0.172,0.36,0.183,1.441,0.495,0.505,58971,0.444,0.412,0.082,0.063,NA,1.766,0.902,"75,533","71,208","4,325",5.7,47,N/A,33,40.13,53,N/A,67,52.63,NA,NA,NA,0.388487726,NA,NA,R,0.405,0.576,R,0.414,0.568,39045
Fayette,0.003,0.173,0.346,0.211,1.498,0.492,0.508,38864,0.53,0.36,0.064,0.046,NA,1.626,0.946,"16,950","15,981",969,5.7,45,N/A,29,35.92,55,N/A,71,54.97,NA,NA,-17,0.357672084,NA,NA,R,0.376,0.606,R,0.385,0.6,39047
Franklin,0.099,0.253,0.331,0.147,1.356,0.487,0.513,50700,0.389,0.352,0.114,0.145,NA,2.015,0.692,"624,952","590,436","34,516",5.5,58,N/A,50,59.04,42,N/A,50,34.68,NA,NA,NA,0.54226736,NA,0,D,0.596,0.389,D,0.605,0.377,39049
Fulton,0.004,0.16,0.358,0.204,1.488,0.488,0.512,53039,0.429,0.442,0.075,0.054,NA,1.754,0.949,"23,205","21,313","1,892",8.2,50,N/A,34,39.8,50,N/A,66,52.56,NA,NA,NA,0.37182199,NA,-17,R,0.45,0.531,R,0.426,0.551,39051
Gallia,0.003,0.177,0.339,0.215,1.5,0.488,0.512,49848,0.62,0.273,0.058,0.05,NA,1.54,0.947,"14,134","13,207",927,6.6,48,N/A,38,39.45,52,N/A,62,52.71,NA,NA,NA,0.372420003,NA,NA,R,0.357,0.617,R,0.361,0.614,39053
Geauga,0.008,0.122,0.371,0.226,1.542,0.491,0.509,66127,0.381,0.371,0.103,0.145,NA,2.012,0.969,"51,190","48,637","2,553",5,50,N/A,32,39.12,50,N/A,68,53.15,NA,NA,NA,0.385667245,NA,3,R,0.415,0.568,R,0.385,0.598,39055
Greene,0.014,0.219,0.321,0.198,1.455,0.489,0.511,57992,0.376,0.373,0.104,0.147,NA,2.022,0.864,"81,005","75,988","5,017",6.2,41,N/A,32,38.33,59,N/A,68,55.85,NA,NA,NA,0.397871669,NA,NA,R,0.401,0.584,R,0.386,0.596,39057
Guernsey,0.004,0.165,0.347,0.225,1.534,0.492,0.508,39293,0.537,0.356,0.061,0.046,NA,1.616,0.96,"19,589","17,904","1,685",8.6,55,N/A,40,40.28,45,N/A,60,49.72,NA,NA,-25,0.401431739,NA,-25,R,0.439,0.529,R,0.442,0.534,39059
Hamilton,0.069,0.21,0.336,0.187,1.443,0.48,0.52,49104,0.491,0.284,0.098,0.127,NA,1.861,0.688,"438,951","414,088","24,863",5.7,49,N/A,41,51.97,51,N/A,59,41.72,NA,NA,NA,0.485456515,NA,NA,D,0.53,0.46,D,0.525,0.462,39061
Hancock,0.006,0.197,0.334,0.204,1.477,0.483,0.517,49350,0.367,0.418,0.107,0.108,NA,1.956,0.934,"40,861","38,454","2,407",5.9,41,N/A,26,33.09,59,N/A,74,59.87,NA,NA,NA,0.348789519,NA,NA,R,0.374,0.605,R,0.351,0.627,39063
Hardin,0.003,0.217,0.316,0.181,1.392,0.496,0.504,40732,0.464,0.389,0.073,0.074,NA,1.757,0.967,"15,033","13,951","1,082",7.2,50,N/A,33,35.16,50,N/A,67,56.77,NA,NA,NA,0.353159982,NA,-17,R,0.381,0.589,R,0.37,0.601,39065
Harrison,0.001,0.147,0.363,0.249,1.62,0.494,0.506,47680,0.533,0.377,0.051,0.039,NA,1.596,0.959,"7,340","6,812",528,7.2,59,N/A,48,43.57,41,N/A,52,47.99,NA,NA,-28,0.445908331,NA,NA,R,0.471,0.495,R,0.412,0.562,39067
Henry,0.002,0.168,0.351,0.207,1.491,0.497,0.503,49423,0.47,0.41,0.067,0.054,NA,1.707,0.952,"15,696","14,447","1,249",8,47,N/A,30,38.21,53,N/A,70,54.28,NA,NA,NA,0.368471749,NA,NA,R,0.426,0.555,R,0.397,0.579,39069
Highland,0.004,0.171,0.335,0.125,1.216,0.491,0.509,47777,0.534,0.362,0.063,0.041,NA,1.611,0.965,"20,651","19,120","1,531",7.4,44,N/A,28,33.17,56,N/A,72,59.24,NA,NA,NA,0.350064307,NA,NA,R,0.357,0.619,R,0.339,0.638,39071
Hocking,0.003,0.162,0.356,0.221,1.537,0.502,0.498,40556,0.547,0.35,0.051,0.051,NA,1.604,0.975,"14,229","13,143","1,086",7.6,58,N/A,43,44.35,42,N/A,57,46.99,NA,NA,NA,0.419510514,NA,-30,R,0.481,0.489,R,0.482,0.492,39073
Holmes,0.004,0.191,0.277,0.159,1.222,0.5,0.5,44091,0.664,0.263,0.043,0.029,NA,1.435,0.987,"19,425","18,471",954,4.9,35,N/A,23,20.81,65,N/A,77,68.52,NA,NA,NA,0.31236444,NA,NA,R,0.282,0.693,R,0.225,0.752,39075
Huron,0.005,0.172,0.347,0.196,1.454,0.491,0.509,48335,0.442,0.416,0.082,0.06,NA,1.76,0.949,"29,024","26,184","2,840",9.8,54,N/A,36,40.5,46,N/A,64,49.98,NA,NA,NA,0.407599688,NA,-25,R,0.472,0.504,R,0.445,0.529,39077
Jackson,0.003,0.177,0.346,0.206,1.487,0.487,0.513,36903,0.601,0.308,0.047,0.044,NA,1.534,0.971,"15,265","13,969","1,296",8.5,53,N/A,39,38.72,47,N/A,61,53.52,NA,NA,NA,0.368084951,NA,NA,R,0.384,0.585,R,0.385,0.59,39079
Jefferson,0.006,0.164,0.355,0.251,1.627,0.479,0.521,40115,0.541,0.357,0.054,0.048,NA,1.609,0.919,"32,856","30,542","2,314",7,61,N/A,51,47.67,39,N/A,49,43.97,NA,NA,NA,0.486991341,NA,-21,D,0.489,0.487,R,0.464,0.513,39081
Knox,0.005,0.185,0.332,0.202,1.455,0.488,0.512,49323,0.403,0.434,0.078,0.084,NA,1.841,0.967,"30,198","28,258","1,940",6.4,47,N/A,32,35.5,53,N/A,68,56.59,NA,NA,NA,0.354710136,NA,-9,R,0.389,0.588,R,0.368,0.607,39083
Lake,0.02,0.164,0.368,0.224,1.572,0.487,0.513,56231,0.397,0.415,0.099,0.089,NA,1.88,0.925,"133,375","126,301","7,074",5.3,57,N/A,40,46.04,43,N/A,60,44.21,NA,NA,NA,0.449320715,NA,NA,D,0.495,0.486,R,0.486,0.495,39085
Lawrence,0.005,0.175,0.339,0.227,1.534,0.485,0.515,40244,0.563,0.342,0.053,0.042,NA,1.574,0.959,"29,399","27,794","1,605",5.5,54,N/A,42,42.06,46,N/A,58,47.07,NA,NA,NA,0.394948732,NA,NA,R,0.411,0.563,R,0.414,0.565,39087
Licking,0.014,0.171,0.361,0.192,1.469,0.489,0.511,54247,0.441,0.402,0.083,0.074,NA,1.79,0.932,"83,686","78,494","5,192",6.2,48,N/A,35,40.32,52,N/A,65,52.01,NA,NA,NA,0.392186868,NA,-11,R,0.411,0.568,R,0.419,0.558,39089
Logan,0.004,0.167,0.343,0.215,1.498,0.49,0.51,47345,0.448,0.441,0.069,0.042,NA,1.705,0.953,"25,299","23,773","1,526",6,43,N/A,27,30.19,57,N/A,73,61.98,NA,NA,NA,0.316844266,NA,-12,R,0.356,0.621,R,0.333,0.643,39091
Lorain,0.026,0.168,0.358,0.208,1.508,0.492,0.508,51756,0.474,0.377,0.078,0.071,NA,1.746,0.848,"160,099","149,893","10,206",6.4,66,N/A,48,56.02,34,N/A,52,36.95,NA,NA,NA,0.519735814,NA,NA,D,0.581,0.402,D,0.569,0.415,39093
Lucas,0.039,0.204,0.336,0.188,1.44,0.485,0.515,41436,0.483,0.328,0.094,0.094,NA,1.797,0.74,"222,286","203,962","18,324",8.2,66,N/A,55,62.26,34,N/A,45,30.72,NA,NA,NA,0.555705081,NA,NA,D,0.648,0.334,D,0.649,0.332,39095
Madison,0.004,0.189,0.385,0.177,1.49,0.547,0.453,54647,0.541,0.34,0.073,0.046,NA,1.624,0.906,"20,202","18,947","1,255",6.2,47,N/A,30,36.79,53,N/A,70,52.93,NA,NA,NA,0.353894883,NA,NA,R,0.373,0.606,R,0.39,0.589,39097
Mahoning,0.021,0.167,0.347,0.244,1.593,0.484,0.516,47112,0.49,0.351,0.086,0.073,NA,1.742,0.799,"115,824","107,545","8,279",7.1,73,N/A,60,62.04,27,N/A,40,27.26,NA,NA,NA,0.554285234,NA,-21,D,0.62,0.355,D,0.634,0.351,39099
Marion,0.006,0.194,0.356,0.207,1.527,0.528,0.472,40966,0.469,0.395,0.078,0.059,NA,1.729,0.911,"32,555","30,274","2,281",7,51,N/A,38,41.18,49,N/A,62,49.44,NA,NA,NA,0.402042475,NA,NA,R,0.442,0.531,R,0.456,0.52,39101
