county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,likely_winner,X,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips
Adams,0.008,NA,0.168,0.357,0.221,1.545,0.492,0.508,58465,0.561,0.301,0.059,0.079,NA,1.656,0.937,"56,402","53,970","2,432",4.3,44.94,N/A,31,37.30%,55.06,N/A,69,60.34%,"20,161","35,693","6,537",0.41000041,D,NA,R,0.394,0.589,R,0.354,0.628,42001
Allegheny,0.097,NA,0.202,0.344,0.228,1.574,0.479,0.521,50664,0.452,0.358,0.079,0.111,NA,1.849,0.815,"643,395","612,419","30,976",4.8,64.91,N/A,55,59.26%,35.09,N/A,45,38.76%,"538,103","258,946","72,516",0.632960162,D,NA,D,0.571,0.416,D,0.565,0.42,42003
Armstrong,0.005,NA,0.154,0.368,0.251,1.643,0.496,0.504,44478,0.56,0.347,0.049,0.044,NA,1.577,0.98,"33,403","31,430","1,973",5.9,50.11,N/A,35,32.34%,49.89,N/A,65,65.70%,"15,799","22,111","2,480",0.434438163,D,NA,R,0.368,0.613,R,0.304,0.678,42005
Beaver,0.014,NA,0.162,0.36,0.25,1.632,0.483,0.517,48311,0.504,0.369,0.065,0.062,NA,1.685,0.912,"90,548","85,593","4,955",5.5,62.06,N/A,48,50.10%,37.94,N/A,52,47.78%,"59,130","40,671","6,201",0.55571202,D,NA,R,0.476,0.504,R,0.459,0.524,42007
Bedford,0.004,NA,0.149,0.36,0.253,1.628,0.498,0.502,41512,0.552,0.353,0.054,0.041,NA,1.584,0.98,"24,468","22,801","1,667",6.8,41.54,N/A,25,25.75%,58.46,N/A,75,72.64%,"9,457","21,431","1,691",0.333721802,D,NA,R,0.269,0.715,R,0.22,0.768,42009
Berks,0.032,NA,0.18,0.348,0.201,1.479,0.491,0.509,55021,0.567,0.309,0.058,0.066,NA,1.623,0.832,"206,505","195,467","11,038",5.3,54.76,N/A,45,51.09%,45.24,N/A,55,47.19%,"119,867","100,377","24,249",0.513607324,D,NA,D,0.538,0.446,R,0.486,0.496,42011
Blair,0.01,NA,0.174,0.34,0.243,1.583,0.486,0.514,42687,0.51,0.383,0.056,0.052,NA,1.652,0.962,"65,574","62,177","3,397",5.2,44.41,N/A,32,34.90%,55.59,N/A,68,62.89%,"24,015","44,031","5,220",0.381006661,D,NA,R,0.372,0.614,R,0.323,0.662,42013
Bradford,0.005,NA,0.152,0.357,0.241,1.589,0.493,0.507,44650,0.442,0.41,0.078,0.07,NA,1.776,0.975,"31,147","29,509","1,638",5.3,43.38,N/A,30,35.43%,56.62,N/A,70,62.03%,"10,487","22,380","2,440",0.366193043,D,NA,R,0.398,0.582,R,0.366,0.612,42015
Bucks,0.05,NA,0.16,0.381,0.209,1.549,0.491,0.509,76859,0.409,0.376,0.094,0.121,NA,1.927,0.892,"353,465","336,821","16,644",4.7,58.52,N/A,47,51.62%,41.48,N/A,53,47.00%,"196,874","187,366","42,714",0.522121082,D,NA,D,0.537,0.451,D,0.5,0.487,42017
Butler,0.015,NA,0.163,0.37,0.212,1.539,0.493,0.507,58226,0.446,0.391,0.086,0.077,NA,1.794,0.86,"99,234","94,635","4,599",4.6,44.82,N/A,32,34.54%,55.18,N/A,68,63.49%,"42,284","69,583","10,181",0.411729107,D,NA,R,0.355,0.629,R,0.318,0.666,42019
Cambria,0.011,NA,0.17,0.349,0.255,1.633,0.494,0.506,41668,0.548,0.353,0.045,0.054,NA,1.605,0.941,"69,579","65,313","4,266",6.1,63.69,N/A,49,47.92%,36.39,N/A,51,49.84%,"45,326","32,485","5,988",0.542538902,D,NA,D,0.492,0.485,R,0.401,0.581,42021
Cameron,0,NA,0.131,0.372,0.287,1.736,0.493,0.507,41409,0.465,0.41,0.066,0.059,NA,1.719,0.983,"2,536","2,308",228,9,48.13,N/A,36,36.11%,51.87,N/A,64,60.44%,"1,213","1,653",185,0.423159432,D,NA,R,0.389,0.586,R,0.341,0.64,42023
Carbon,0.005,NA,0.155,0.373,0.245,1.636,0.494,0.506,49951,0.562,0.353,0.047,0.039,NA,1.565,0.958,"31,601","29,475","2,126",6.7,57.34,N/A,45,47.34%,42.66,N/A,55,50.28%,"18,378","17,638","3,313",0.506975121,D,NA,D,0.498,0.479,R,0.451,0.526,42025
Centre,0.012,NA,0.309,0.273,0.158,1.329,0.518,0.482,49706,0.338,0.336,0.094,0.232,NA,2.22,0.894,"75,538","72,293","3,245",4.3,56.88,N/A,48,49.78%,43.12,N/A,52,46.99%,"50,368","46,779","17,482",0.520189508,D,NA,D,0.551,0.433,D,0.489,0.487,42027
Chester,0.039,NA,0.169,0.369,0.183,1.456,0.491,0.509,86184,0.379,0.34,0.11,0.171,NA,2.073,0.855,"274,238","263,491","10,747",3.9,55.01,N/A,47,50.24%,44.99,N/A,53,47.91%,"137,155","155,513","32,626",0.495632966,D,NA,D,0.54,0.448,R,0.492,0.494,42029
Clarion,0.003,NA,0.207,0.327,0.222,1.527,0.484,0.516,43059,0.502,0.362,0.064,0.072,NA,1.706,0.972,"20,835","19,537","1,298",6.2,47.21,N/A,33,31.44%,52.79,N/A,67,64.92%,"8,284","13,103","1,790",0.405872087,D,NA,R,0.378,0.601,R,0.311,0.666,42031
Clearfield,0.007,NA,0.173,0.364,0.241,1.624,0.511,0.489,40768,0.554,0.349,0.054,0.043,NA,1.586,0.954,"40,775","38,038","2,737",6.7,55.27,N/A,40,35.45%,44.73,N/A,60,62.31%,"20,725","26,214","2,912",0.440373447,D,NA,R,0.428,0.549,R,0.346,0.633,42033
Clinton,0.003,NA,0.205,0.317,0.221,1.502,0.488,0.512,40682,0.469,0.393,0.066,0.071,NA,1.737,0.965,"19,460","18,258","1,202",6.2,54.07,N/A,41,45.00%,45.93,N/A,59,52.75%,"9,082","10,147","1,761",0.474482866,D,NA,R,0.48,0.507,R,0.431,0.549,42035
Columbia,0.005,NA,0.205,0.333,0.22,1.531,0.477,0.523,44680,0.475,0.398,0.065,0.061,NA,1.71,0.954,"36,409","34,273","2,136",5.9,50.98,N/A,38,44.75%,49.02,N/A,62,52.94%,"16,071","18,363","4,011",0.476497483,D,NA,R,0.468,0.512,R,0.425,0.553,42037
Crawford,0.007,NA,0.165,0.34,0.236,1.553,0.488,0.512,41664,0.43,0.412,0.087,0.071,NA,1.799,0.963,"43,562","41,116","2,446",5.6,48.59,N/A,37,37.38%,51.41,N/A,63,60.02%,"19,391","27,311","3,541",0.428240055,D,NA,R,0.438,0.542,R,0.39,0.588,42039
Cumberland,0.018,NA,0.191,0.349,0.219,1.546,0.491,0.509,60883,0.394,0.39,0.091,0.125,NA,1.947,0.909,"125,832","120,498","5,334",4.2,46.35,N/A,35,42.04%,53.65,N/A,65,55.74%,"55,759","85,403","16,037",0.423337347,D,NA,R,0.424,0.56,R,0.39,0.583,42041
Dauphin,0.021,NA,0.191,0.355,0.198,1.495,0.484,0.516,54066,0.468,0.386,0.065,0.08,NA,1.755,0.727,"138,090","131,631","6,459",4.7,53.31,N/A,44,54.14%,46.69,N/A,56,44.50%,"86,960","76,900","15,909",0.492696193,D,NA,D,0.539,0.449,D,0.523,0.462,42043
Delaware,0.044,NA,0.19,0.345,0.199,1.477,0.479,0.521,64242,0.396,0.37,0.095,0.139,NA,1.977,0.725,"287,490","273,179","14,311",5,61.69,N/A,56,61.83%,38.31,N/A,44,37.19%,"187,549","171,046","27,009",0.527551919,D,NA,D,0.601,0.387,D,0.602,0.388,42045
Elk,0.003,NA,0.138,0.384,0.252,1.662,0.496,0.504,44741,0.477,0.401,0.069,0.053,NA,1.698,0.985,"17,578","16,531","1,047",6,63.01,N/A,45,42.50%,36.99,N/A,55,54.53%,"9,531","8,472","1,087",0.515675279,D,NA,D,0.508,0.465,R,0.411,0.571,42047
Erie,0.022,NA,0.197,0.337,0.202,1.477,0.491,0.509,45249,0.416,0.405,0.09,0.088,NA,1.848,0.882,"141,912","133,934","7,978",5.6,59.4,N/A,55,56.29%,40.6,N/A,45,41.26%,"97,054","66,678","14,246",0.567043435,D,NA,D,0.591,0.393,D,0.571,0.412,42049
Fayette,0.011,NA,0.167,0.36,0.249,1.634,0.491,0.509,38108,0.576,0.329,0.049,0.046,NA,1.565,0.933,"66,718","62,362","4,356",6.5,64.5,N/A,50,50.55%,33.5,N/A,50,47.70%,"48,606","27,894","4,313",0.574253241,D,NA,R,0.489,0.494,R,0.452,0.535,42051
