county;population;pct_male;pct_female;median_age;over65_pct;onerace_white;onerace_black;onerace_native;onerace_asian;onerace_pacificislands;onerace_other;hispanic_pct;non_hisp_white;non_hisp_black;`voting_pop;;;
Ada County, Idaho;444028;50.0;50.0;36.6;13.8;90.7;1.5;0.5;2.7;0.1;1.5;8.1;85.0;1.3;323692;;;
Adams County, Colorado;498187;50.4;49.6;33.7;10.0;80.9;3.2;1.5;4.0;0.1;6.5;39.6;50.8;3.1;309539;;;
Adams County, Illinois;66578;49.1;50.9;42.1;19.4;N;N;N;N;N;N;1.1;N;N;51376;;;
Adams County, Pennsylvania;102180;49.3;50.7;44.2;19.7;92.4;1.0;0.1;0.4;0.0;3.5;7.0;89.3;0.9;79061;;;
Aiken County, South Carolina;167458;48.8;51.2;40.8;18.2;71.4;24.5;0.3;1.2;0.1;0.6;5.7;66.4;24.4;125205;;;
Alachua County, Florida;263496;48.1;51.9;31.3;13.1;69.1;20.1;0.4;6.4;0.2;1.0;9.4;61.7;19.7;202023;;;
Alamance County, North Carolina;159688;47.7;52.3;39.9;16.6;69.5;19.5;0.5;1.4;0.2;7.0;12.6;64.6;19.3;114749;;;
Alameda County, California;1647704;49.1;50.9;37.4;13.1;41.8;10.6;0.6;29.4;0.8;10.4;22.5;31.9;10.4;1064494;;;
Albany County, New York;308846;48.6;51.4;37.9;15.8;74.7;12.4;0.3;6.8;0.0;1.8;5.8;72.1;11.7;236739;;;
Albemarle County, Virginia;106878;47.7;52.3;38.2;17.3;81.0;9.8;0.2;5.0;0.1;1.5;5.7;77.1;9.7;80552;;;
Alexandria city, Virginia;155810;47.9;52.1;36.6;10.1;59.5;22.1;0.1;6.2;0.1;7.2;16.8;51.2;21.7;102600;;;
Allegan County, Michigan;115548;50.0;50.0;39.4;15.9;94.1;1.3;0.3;0.4;0.0;0.9;7.3;88.6;1.3;86513;;;
Allegany County, Maryland;72130;52.3;47.7;40.8;19.5;88.5;8.8;0.2;0.9;0.0;0.1;1.7;87.1;8.6;58736;;;
Allegheny County, Pennsylvania;1225365;48.3;51.7;40.6;18.0;80.2;12.6;0.1;3.5;0.0;0.4;2.0;78.8;12.5;959493;;;
Allen County, Indiana;370404;48.8;51.2;35.8;13.7;80.1;11.5;0.1;4.0;0.0;1.1;7.3;74.2;11.3;262155;;;
Allen County, Ohio;103742;49.6;50.4;38.2;16.6;82.5;11.8;0.2;0.9;0.0;1.2;3.0;80.9;11.7;78498;;;
