mean,group
3.65,n=20
11.8,n=20
14.25,n=20
16,n=20
5.7,n=20
8.9,n=20
12.7,n=20
82.2,n=20
2.75,n=20
34.35,n=20
8.75,n=20
4.5,n=20
10.75,n=20
20.05,n=20
13.25,n=20
5.25,n=20
-0.3,n=20
-1.3,n=20
36.05,n=20
0.95,n=20
2.2,n=20
15.4,n=20
5.15,n=20
-2.85,n=20
30,n=20
20.35,n=20
-2.75,n=20
3.45,n=20
33.65,n=20
37,n=20
7.15,n=20
2.05,n=20
5.2,n=20
9.55,n=20
5.8,n=20
21.75,n=20
2.1,n=20
0.8,n=20
-1.5,n=20
9.85,n=20
15.65,n=20
6.7,n=20
19.05,n=20
3.05,n=20
15.15,n=20
9.25,n=20
5.95,n=20
15.95,n=20
13.1,n=20
20.8,n=20
20.1,n=20
11.5,n=20
5.3,n=20
18.2,n=20
36.35,n=20
11.75,n=20
-0.1,n=20
2.4,n=20
15.75,n=20
-1.8,n=20
15.3,n=20
20.3,n=20
14.9,n=20
36.95,n=20
13.25,n=20
31.1,n=20
4.85,n=20
12,n=20
2.4,n=20
21.85,n=20
16.2,n=20
-2.65,n=20
0.2,n=20
8.45,n=20
3,n=20
12.05,n=20
8.65,n=20
10.95,n=20
4.8,n=20
6.15,n=20
11.7,n=20
1.85,n=20
31,n=20
9.65,n=20
-0.45,n=20
7.5,n=20
26.25,n=20
28.4,n=20
5.15,n=20
-0.65,n=20
35.45,n=20
1.6,n=20
14.3,n=20
21,n=20
5.35,n=20
3.6,n=20
-2.3,n=20
27.75,n=20
4.45,n=20
28.1,n=20
4.9,n=20
38.2,n=20
-1,n=20
14.55,n=20
0.15,n=20
7.05,n=20
19.15,n=20
-1.8,n=20
1.45,n=20
-0.45,n=20
7.8,n=20
4.25,n=20
-1.1,n=20
1.15,n=20
3.9,n=20
4.5,n=20
4.6,n=20
5.7,n=20
1.5,n=20
5.9,n=20
4.55,n=20
4.95,n=20
9.2,n=20
12.35,n=20
7,n=20
16.05,n=20
13.6,n=20
0.8,n=20
0.4,n=20
1.4,n=20
12.3,n=20
8.15,n=20
-2.1,n=20
0.7,n=20
17.45,n=20
6.75,n=20
15.85,n=20
15.95,n=20
2.45,n=20
11.15,n=20
-2.2,n=20
8,n=20
10.1,n=20
4.4,n=20
7.55,n=20
11.9,n=20
-2.95,n=20
2.65,n=20
1.35,n=20
0.45,n=20
26.25,n=20
5.35,n=20
8.2,n=20
6.45,n=20
4.25,n=20
0.65,n=20
2.05,n=20
7.2,n=20
4.65,n=20
1,n=20
14.3,n=20
13.4,n=20
5.05,n=20
35.05,n=20
5.15,n=20
10.4,n=20
19.15,n=20
7.65,n=20
17.8,n=20
8.4,n=20
5.05,n=20
10.95,n=20
19.2,n=20
4.6,n=20
7.7,n=20
2.95,n=20
4.6,n=20
7.95,n=20
7.3,n=20
2.25,n=20
18.55,n=20
5.6,n=20
13.25,n=20
-3.15,n=20
1.8,n=20
19.1,n=20
2.7,n=20
9.65,n=20
7.7,n=20
6.95,n=20
-0.2,n=20
35.4,n=20
6.65,n=20
-0.65,n=20
31,n=20
10.8,n=20
17.8,n=20
10.6,n=20
15.85,n=20
4.95,n=20
4.35,n=20
2.25,n=20
1.85,n=20
-1.1,n=20
26.3,n=20
3.85,n=20
11.7,n=20
23.25,n=20
19.55,n=20
15,n=20
6.9,n=20
25.95,n=20
9.7,n=20
15.7,n=20
17,n=20
12.85,n=20
5.45,n=20
30.95,n=20
1,n=20
19.55,n=20
11.3,n=20
19.85,n=20
6.3,n=20
7.65,n=20
35.2,n=20
10.05,n=20
3.45,n=20
4.65,n=20
7.5,n=20
24,n=20
12.1,n=20
37.85,n=20
28.4,n=20
-2.95,n=20
32.95,n=20
12.95,n=20
2.3,n=20
-4,n=20
8.15,n=20
0.6,n=20
5.65,n=20
8.9,n=20
7.85,n=20
6.95,n=20
13.2,n=20
6.7,n=20
14.8,n=20
3.5,n=20
4.45,n=20
12.1,n=20
6.9,n=20
28.6,n=20
5.35,n=20
5,n=20
23.9,n=20
6.5,n=20
11.9,n=20
-1.5,n=20
0.45,n=20
20,n=20
20.8,n=20
4.9,n=20
3.1,n=20
14.3,n=20
17.25,n=20
27.9,n=20
-0.85,n=20
20.25,n=20
-0.7,n=20
7.85,n=20
8.2,n=20
16.45,n=20
8.2,n=20
10.7,n=20
15.75,n=20
9.4,n=20
20.25,n=20
19.5,n=20
0.95,n=20
1.5,n=20
12.55,n=20
11.25,n=20
8.95,n=20
-0.8,n=20
2.9,n=20
8.95,n=20
4.35,n=20
-0.2,n=20
5.9,n=20
0.45,n=20
7.3,n=20
1.5,n=20
6.2,n=20
11.55,n=20
5.6,n=20
3.8,n=20
2.95,n=20
21,n=20
4.35,n=20
13.65,n=20
5.95,n=20
19.8,n=20
10.7,n=20
19.75,n=20
8.4,n=20
-1.15,n=20
4.55,n=20
4.2,n=20
8.35,n=20
15.5,n=20
-0.3,n=20
21.8,n=20
28.5,n=20
1.2,n=20
2.85,n=20
13.35,n=20
-0.15,n=20
11.05,n=20
11.95,n=20
-1.95,n=20
11.35,n=20
22.35,n=20
0.25,n=20
0.55,n=20
15.1,n=20
2.7,n=20
5.25,n=20
15.7,n=20
-2.05,n=20
14.75,n=20
-1.3,n=20
16,n=20
19.55,n=20
4.45,n=20
13.05,n=20
21.4,n=20
7.15,n=20
32.4,n=20
22.9,n=20
7.35,n=20
7,n=20
6.1,n=20
37,n=20
12.05,n=20
3.75,n=20
43.3,n=20
29.05,n=20
4.45,n=20
19.8,n=20
14.95,n=20
1.25,n=20
17.35,n=20
6.15,n=20
23.45,n=20
23.3,n=20
7.05,n=20
18.2,n=20
3.35,n=20
4.2,n=20
0.75,n=20
2.75,n=20
59.85,n=20
17,n=20
0.8,n=20
22,n=20
3.15,n=20
14.25,n=20
25.35,n=20
9.9,n=20
9.6,n=20
1.9,n=20
3.55,n=20
4.95,n=20
14.6,n=20
8.9,n=20
5.65,n=20
6.4,n=20
5.5,n=20
4.9,n=20
7.3,n=20
-2.4,n=20
-2.85,n=20
1.5,n=20
19.3,n=20
21.65,n=20
-2.75,n=20
0.15,n=20
18.6,n=20
35.55,n=20
5.2,n=20
-0.45,n=20
12.9,n=20
9.55,n=20
-0.15,n=20
22.7,n=20
2.5,n=20
0.05,n=20
23.8,n=20
1.9,n=20
-1.45,n=20
7.1,n=20
3.6,n=20
14.15,n=20
15.6,n=20
10.45,n=20
14.9,n=20
29.45,n=20
-1.2,n=20
28.7,n=20
4.15,n=20
30.7,n=20
5.95,n=20
17.75,n=20
-2.85,n=20
13.45,n=20
25.35,n=20
7.85,n=20
11.15,n=20
23.4,n=20
8.55,n=20
6.1,n=20
-0.4,n=20
10.8,n=20
20.3,n=20
3.6,n=20
8.5,n=20
4.1,n=20
16.2,n=20
5.25,n=20
5.2,n=20
14.05,n=20
25.05,n=20
8.1,n=20
5.8,n=20
2.4,n=20
9.1,n=20
34.25,n=20
4.55,n=20
19.05,n=20
25.95,n=20
20.85,n=20
15.4,n=20
31.2,n=20
9.9,n=20
4.25,n=20
7.85,n=20
12.4,n=20
7.55,n=20
30.1,n=20
9.35,n=20
2.65,n=20
5.3,n=20
16.2,n=20
0.6,n=20
20.2,n=20
9.55,n=20
37.5,n=20
10.45,n=20
-3,n=20
22.05,n=20
-1.4,n=20
-2.05,n=20
6.75,n=20
13.45,n=20
21.9,n=20
18.3,n=20
3.75,n=20
2,n=20
0.55,n=20
17.4,n=20
4.3,n=20
1.9,n=20
7.15,n=20
10.75,n=20
12.75,n=20
26.35,n=20
3.2,n=20
16.4,n=20
-2.55,n=20
15.5,n=20
17,n=20
3.75,n=20
19.95,n=20
12.65,n=20
5.65,n=20
-2.6,n=20
19.85,n=20
25.75,n=20
17.05,n=20
7.5,n=20
21.55,n=20
3.85,n=20
6.95,n=20
34.1,n=20
11.15,n=20
30.2,n=20
10.15,n=20
7.15,n=20
2.15,n=20
9.2,n=20
5.05,n=20
2.15,n=20
17.2,n=20
17.45,n=20
3.1,n=20
7.75,n=20
24.1,n=20
-2.45,n=20
0.8,n=20
8.3,n=20
-0.55,n=20
6.3,n=20
-0.25,n=20
2.25,n=20
9.05,n=20
2.35,n=20
14.55,n=20
20.75,n=20
8.6,n=20
10.85,n=20
-0.9,n=20
-2.35,n=20
-3.7,n=20
3.15,n=20
11.05,n=20
9.6,n=20
7.55,n=20
20.55,n=20
6,n=20
-0.5,n=20
5.65,n=20
26.85,n=20
1.9,n=20
3.85,n=20
-1.65,n=20
19.2,n=20
0.5,n=20
1.85,n=20
17.35,n=20
9.8,n=20
15.3,n=20
7,n=20
18.8,n=20
10.35,n=20
6.85,n=20
2.45,n=20
9.55,n=20
32.75,n=20
0.45,n=20
-0.55,n=20
25.95,n=20
10.75,n=20
-0.15,n=20
14.55,n=20
12.75,n=20
8.6,n=20
18,n=20
22.65,n=20
12.25,n=20
0.7,n=20
4,n=20
-2.85,n=20
7.05,n=20
10.65,n=20
7.4,n=20
9.25,n=20
-2.7,n=20
4.4,n=20
11.05,n=20
10.4,n=20
-1.1,n=20
25.65,n=20
26.55,n=20
-0.3,n=20
0.15,n=20
14.7,n=20
17.7,n=20
0.85,n=20
12.4,n=20
35.85,n=20
24.55,n=20
0.2,n=20
