mean,group
3744861.55,n=20
4170662.15,n=20
4248100.65,n=20
2985402.15,n=20
6184785.15,n=20
5495903.45,n=20
2843711,n=20
3373131.9,n=20
3362582.25,n=20
3270354.5,n=20
5128071,n=20
4761876,n=20
4071241.2,n=20
4111235.55,n=20
4662322.55,n=20
4065946.85,n=20
2839103.55,n=20
3741655.05,n=20
4072178.15,n=20
3682914.5,n=20
3688540.95,n=20
3292558.15,n=20
3518626.45,n=20
2826731.8,n=20
4947394.05,n=20
4002980.8,n=20
3475071.2,n=20
3936530.25,n=20
3675299.85,n=20
3144569,n=20
4552313.8,n=20
3923920.7,n=20
4379609.85,n=20
3007742.7,n=20
4109091.55,n=20
3444765.25,n=20
4109316.95,n=20
3159714.95,n=20
4799958.35,n=20
3467426.75,n=20
6214893.4,n=20
3976073.3,n=20
5293987.4,n=20
5425755.95,n=20
2001501.5,n=20
4096374,n=20
5392058.05,n=20
4137556,n=20
4618798.65,n=20
2296838.85,n=20
3115749.35,n=20
2800962.75,n=20
8029045.8,n=20
6169269.8,n=20
3409416.85,n=20
3038341.95,n=20
5897905.2,n=20
4102276.25,n=20
4784899.3,n=20
4274211.1,n=20
5880154.95,n=20
3001780.7,n=20
4522433.95,n=20
5248545.45,n=20
2980454.5,n=20
4273862.65,n=20
5741285.4,n=20
5489365.1,n=20
4842962.7,n=20
4621145.1,n=20
3520961.2,n=20
3541898.8,n=20
4919581.95,n=20
3958896.85,n=20
3534941.1,n=20
3632920.15,n=20
5081507.85,n=20
3470323.45,n=20
4499592.7,n=20
3347330.55,n=20
3704456.95,n=20
4888083.4,n=20
2508250.05,n=20
5302046.15,n=20
5761076.95,n=20
5192140.9,n=20
3083691.5,n=20
4693375.8,n=20
5511708.85,n=20
3752217.4,n=20
3860232.05,n=20
5734821.7,n=20
3552243.35,n=20
4738984.2,n=20
4443470.85,n=20
6154909.4,n=20
4446700.55,n=20
2201208.2,n=20
3341618.05,n=20
2820556.85,n=20
3437276.75,n=20
4966222.6,n=20
6120298.85,n=20
3628754.85,n=20
3376037.25,n=20
4336567.05,n=20
3626743.85,n=20
3968614.55,n=20
3892764.25,n=20
4165536,n=20
3446111.15,n=20
3961739.05,n=20
7003409,n=20
2559365.55,n=20
2919023.6,n=20
4072764.35,n=20
4452357.1,n=20
6762193.45,n=20
3324552,n=20
4634806.75,n=20
4997279.35,n=20
4410090.65,n=20
3319124.05,n=20
6945792.9,n=20
5852963.25,n=20
4968067,n=20
4137205.75,n=20
3693772.7,n=20
5274695.45,n=20
4596962.05,n=20
5178011.05,n=20
4762822.65,n=20
3911502.4,n=20
5038828.05,n=20
2215725.3,n=20
1761339.65,n=20
4507613.8,n=20
3090828.5,n=20
2807767.85,n=20
4921427.15,n=20
3552554.6,n=20
3122659.2,n=20
4509963.4,n=20
4616704.25,n=20
4986277.05,n=20
5069370.8,n=20
4345449,n=20
4368148,n=20
3411210.3,n=20
7231739.95,n=20
3589136.55,n=20
3813254.6,n=20
2377048.75,n=20
3208944.1,n=20
4206442.8,n=20
3020011.45,n=20
3606221.7,n=20
4514061,n=20
4912615.65,n=20
5826246.5,n=20
4168090,n=20
3410937.7,n=20
6371295.55,n=20
4121613.4,n=20
5809631.55,n=20
5666294.75,n=20
4193803.85,n=20
4712666.8,n=20
4377244.7,n=20
3582713.55,n=20
5050389.45,n=20
2779563.6,n=20
4082060.75,n=20
4326889.6,n=20
2882613.15,n=20
4902463.2,n=20
5333579.3,n=20
4549269.4,n=20
4842028.6,n=20
3376806.55,n=20
3019490.9,n=20
4167106,n=20
5234518.3,n=20
4524184.6,n=20
4144963.5,n=20
4970938.45,n=20
3557084,n=20
4325110.6,n=20
3289245.75,n=20
4273398.6,n=20
4748611.95,n=20
2594406.8,n=20
5303733.6,n=20
2304047.9,n=20
4349789.2,n=20
3381486.25,n=20
4132220.45,n=20
3611346.1,n=20
3106294.75,n=20
5399637.95,n=20
5583661.15,n=20
5502141.25,n=20
5497997.75,n=20
4090932.3,n=20
2579245.8,n=20
3746545.25,n=20
6872760.35,n=20
6583451.7,n=20
3810517.75,n=20
3075030.4,n=20
3908839.9,n=20
3261563.75,n=20
3400835.8,n=20
3379852.05,n=20
3508856.5,n=20
5034683.6,n=20
4727066.75,n=20
4359664.95,n=20
5556973.9,n=20
4886062.3,n=20
4079722.5,n=20
3692410.85,n=20
5281001.5,n=20
4436333.75,n=20
6650397.8,n=20
5105691,n=20
3165677.4,n=20
4138459.4,n=20
4659415.35,n=20
7464071.8,n=20
3158608.75,n=20
3525293.1,n=20
5025531.8,n=20
4831058.15,n=20
2900980.3,n=20
3403644,n=20
3958356.6,n=20
4280594.15,n=20
4796924.05,n=20
3178100.05,n=20
4692278.2,n=20
4445232.65,n=20
4330732.4,n=20
2911607.6,n=20
4369514.5,n=20
5161719.1,n=20
4297253.95,n=20
3745203.55,n=20
5974674.8,n=20
5477321.35,n=20
5960269.7,n=20
3873100.9,n=20
3967565.8,n=20
2329045.15,n=20
3783010.85,n=20
2529554.35,n=20
7287470.55,n=20
5602168.7,n=20
4139183.3,n=20
4775228.65,n=20
3263834.8,n=20
5159413.3,n=20
1878267.85,n=20
4927098.35,n=20
5922464.7,n=20
3636335.5,n=20
4187117.15,n=20
5065693.75,n=20
4888291.8,n=20
5461704.6,n=20
6483084.75,n=20
3825005.35,n=20
5374213.1,n=20
3340911.55,n=20
4492207.8,n=20
4678507.75,n=20
5188844.95,n=20
3855727.05,n=20
4046964.3,n=20
3340066,n=20
5336313,n=20
3933309.45,n=20
4627598.65,n=20
3342010.7,n=20
4190691.9,n=20
4271569.95,n=20
3794808.25,n=20
2766017.95,n=20
3677593.3,n=20
4753512.5,n=20
3728729.5,n=20
4249554.35,n=20
5206465.8,n=20
3573835.55,n=20
5277451.95,n=20
5444772.85,n=20
3525701.55,n=20
4589957.4,n=20
3388158.85,n=20
5854372,n=20
4970356.6,n=20
4771075.2,n=20
3719587.95,n=20
3463353.75,n=20
5012206.2,n=20
2905301.85,n=20
2974638.35,n=20
4812223.8,n=20
4853201.35,n=20
3503134.25,n=20
3050985.35,n=20
3329976.35,n=20
5249922.75,n=20
4032481.6,n=20
4535887.4,n=20
4373029.55,n=20
2780870.1,n=20
5741556.55,n=20
5353900.5,n=20
1945420.1,n=20
4390293.25,n=20
3849579.2,n=20
4405007.3,n=20
4789452.9,n=20
5636760.4,n=20
3436492.7,n=20
5469771.2,n=20
5981531.85,n=20
3991167.35,n=20
2523724.15,n=20
4414369.9,n=20
3383755.95,n=20
3602556.75,n=20
3715988.2,n=20
6108464.45,n=20
2819502.9,n=20
4447052.05,n=20
4943932.75,n=20
2562623,n=20
3138346.55,n=20
4555014.15,n=20
4974642.5,n=20
3429278.3,n=20
3901248.35,n=20
3318093.5,n=20
5940738.4,n=20
5714082.45,n=20
5780840.25,n=20
3424872.9,n=20
3397335.65,n=20
5753044.7,n=20
2325290,n=20
4103602.85,n=20
3238922.7,n=20
3042927.6,n=20
3720382.25,n=20
4859182.55,n=20
3918959.6,n=20
4136883.3,n=20
4999571.8,n=20
5006446,n=20
3993933.1,n=20
3705217.6,n=20
3134728.75,n=20
4371393.15,n=20
3600768.6,n=20
5090068.9,n=20
3654249.7,n=20
2112996.4,n=20
4562707.05,n=20
3181954.95,n=20
4323452.9,n=20
3731149.05,n=20
5296019.85,n=20
6264582.55,n=20
4120419.35,n=20
6305651.7,n=20
5373868.35,n=20
3947552.3,n=20
3830331.75,n=20
6800599.55,n=20
3778751.65,n=20
4695565.95,n=20
3635298.05,n=20
3164933.05,n=20
3973966.95,n=20
3823036.9,n=20
5673499.15,n=20
5850166.1,n=20
4730297,n=20
2345723.75,n=20
3081544.55,n=20
4947575.25,n=20
4631787.95,n=20
3742500.5,n=20
6068599.3,n=20
3686005.05,n=20
4679486.35,n=20
3164626.6,n=20
4364489.05,n=20
5203646.95,n=20
4703206.65,n=20
6221024.1,n=20
4346647.5,n=20
4299206.65,n=20
5555517.8,n=20
3383661.95,n=20
4360290.15,n=20
3695997.75,n=20
6127658.75,n=20
3096178.9,n=20
5130852.2,n=20
6135811,n=20
7728112.25,n=20
2558330.05,n=20
4107731.55,n=20
4095649.8,n=20
3995054,n=20
3788291.95,n=20
3506739.45,n=20
4903372.95,n=20
4515227.95,n=20
4517936.65,n=20
3912859.35,n=20
4753901.2,n=20
5621095.7,n=20
5770612.75,n=20
2838642.65,n=20
4131336.65,n=20
2986021.3,n=20
4578980.25,n=20
5646736.25,n=20
3502677.8,n=20
3971964.7,n=20
3906652.4,n=20
3811035.15,n=20
3046661.8,n=20
4025502.5,n=20
3932164.65,n=20
3461931.5,n=20
4008673.65,n=20
6061700.75,n=20
6423569.35,n=20
3537524.75,n=20
2560305.5,n=20
3663179.05,n=20
3483879.5,n=20
3430297.85,n=20
2357186.45,n=20
5393677.55,n=20
4444725.35,n=20
4226966.3,n=20
3812125.4,n=20
4391135.9,n=20
3814689.25,n=20
4410092.35,n=20
4341919.55,n=20
3903819.6,n=20
5876108.45,n=20
6045032.1,n=20
4216842.75,n=20
3198132.35,n=20
5448323.3,n=20
4621084.15,n=20
4108172.25,n=20
5107197.15,n=20
5754565.45,n=20
5615416.45,n=20
5415261.15,n=20
3846979.5,n=20
2797961.1,n=20
4483198.8,n=20
2305854.45,n=20
5557531.55,n=20
4257490.6,n=20
5025043.8,n=20
3802640.2,n=20
5093021.5,n=20
5041780.9,n=20
4205311.65,n=20
3985136.25,n=20
4133779.75,n=20
4032532.7,n=20
5817972.05,n=20
4360184,n=20
5411030.85,n=20
3914998.05,n=20
5086669.25,n=20
3321901.65,n=20
3149953.2,n=20
3068396.7,n=20
4244443.35,n=20
3863626.75,n=20
5168133.8,n=20
5958519.95,n=20
3748439.1,n=20
2755099.65,n=20
4436471.4,n=20
3572182.05,n=20
3086820.55,n=20
4569438.2,n=20
3097273.2,n=20
5148362.95,n=20
4751041.25,n=20
4552502.6,n=20
3178790.4,n=20
4289901.2,n=20
5767641.85,n=20
4956626.75,n=20
5370043.9,n=20
2938784.95,n=20
5125253.6,n=20
4618525.45,n=20
5706585.95,n=20
5431772.05,n=20
5892445.1,n=20
3612170.75,n=20
3977526.45,n=20
3959944,n=20
4413254.45,n=20
5824409.75,n=20
3686468.25,n=20
4357533.1,n=20
3040792.45,n=20
3378226.55,n=20
4796584.95,n=20
4679048.9,n=20
6056724.35,n=20
4276280.6,n=20
3139794.35,n=20
