"Month","TotAdvExp","NewPI"
1,9221.5,7
2,6684,9
3,200,12
4,14546.8,27
5,5170.1,9
6,5810.3,13
7,5816.2,11
8,8236.4,7
9,2089.6,13
10,29282.2,7
11,9193.6,9
12,9499.2,8
13,11128.8,18
14,9057.6,9
15,13604.5,25
16,14411.8,26
17,13724.3,27
18,13419.4,12
19,17372.3,14
20,6296.4,5
21,13191.6,22
22,26798.8,15
23,18611,12
24,829.5,18
25,16976.5,20
26,14077,38
27,24791.8,13
28,9691.3,18
29,28948.3,21
30,21373.5,7
31,9675.3,16
32,33213.6,12
33,19859.8,15
34,10475.3,18
35,24790.8,30
36,36660.9,12
37,8812.5,30
38,41817.8,20
39,27399.3,19
40,25723.1,29
41,16312.1,58
42,26332.8,42
43,60207.6,24
44,42485.4,47
45,35601.9,24
46,72071.5,14
47,12797.1,31
48,12310.5,26
