date,currency_code,name,local_price,dollar_ex,dollar_price
2000-04-01,ARS,Argentina,2.5,1.0,2.5
2000-04-01,AUD,Australia,2.59,1.68,1.5416666666666698
2000-04-01,BRL,Brazil,2.95,1.79,1.64804469273743
2000-04-01,CAD,Canada,2.85,1.47,1.93877551020408
2000-04-01,CHF,Switzerland,5.9,1.7,3.4705882352941204
2000-04-01,CLP,Chile,1260.0,514.0,2.45136186770428
2000-04-01,CNY,China,9.9,8.28,1.19565217391304
2000-04-01,CZK,Czech Republic,54.37,39.1,1.39053708439898
2000-04-01,DKK,Denmark,24.75,8.04,3.07835820895522
2000-04-01,EUR,Euro area,2.56,1.075268817,2.38080000045235
2000-04-01,GBP,Britain,1.9,0.632911392,3.00200000192128
2000-04-01,HKD,Hong Kong,10.2,7.79,1.30937098844673
2000-04-01,HUF,Hungary,339.0,279.0,1.21505376344086
2000-04-01,IDR,Indonesia,14500.0,7945.0,1.82504719949654
2000-04-01,ILS,Israel,14.5,4.05,3.58024691358025
2000-04-01,JPY,Japan,294.0,106.0,2.77358490566038
2000-04-01,KRW,South Korea,3000.0,1108.0,2.70758122743682
2000-04-01,MXN,Mexico,20.9,9.41,2.2210414452709903
2000-04-01,MYR,Malaysia,4.52,3.8,1.18947368421053
2000-04-01,NZD,New Zealand,3.4,2.01,1.69154228855721
2000-04-01,PLN,Poland,5.5,4.3,1.27906976744186
2000-04-01,RUB,Russia,39.5,28.5,1.3859649122806998
2000-04-01,SGD,Singapore,3.2,1.7,1.88235294117647
2000-04-01,SEK,Sweden,24.0,8.84,2.7149321266968296
2000-04-01,THB,Thailand,55.0,38.0,1.44736842105263
2000-04-01,TWD,Taiwan,70.0,30.6,2.28758169934641
2000-04-01,USD,United States,2.51,1.0,2.51
2000-04-01,ZAR,South Africa,9.0,6.72,1.33928571428571
2001-04-01,ARS,Argentina,2.5,1.0,2.5
2001-04-01,AUD,Australia,3.0,1.98,1.51515151515152
2001-04-01,BRL,Brazil,3.6,2.19,1.6438356164383603
2001-04-01,CAD,Canada,3.33,1.56,2.13461538461538
2001-04-01,CHF,Switzerland,6.3,1.73,3.64161849710983
2001-04-01,CLP,Chile,1260.0,601.0,2.09650582362729
2001-04-01,CNY,China,9.9,8.28,1.19565217391304
2001-04-01,CZK,Czech Republic,56.0,39.0,1.43589743589744
2001-04-01,DKK,Denmark,24.75,8.46,2.92553191489362
2001-04-01,EUR,Euro area,2.57,1.136363636,2.26160000072371
2001-04-01,GBP,Britain,1.99,0.699300699,2.84570000122365
2001-04-01,HKD,Hong Kong,10.7,7.8,1.3717948717948705
2001-04-01,HUF,Hungary,399.0,303.0,1.31683168316832
2001-04-01,IDR,Indonesia,14700.0,10855.0,1.35421464762782
2001-04-01,JPY,Japan,294.0,124.0,2.37096774193548
2001-04-01,KRW,South Korea,3000.0,1325.0,2.26415094339623
2001-04-01,MXN,Mexico,21.9,9.29,2.35737351991389
2001-04-01,MYR,Malaysia,4.52,3.8,1.18947368421053
2001-04-01,NZD,New Zealand,3.6,2.47,1.45748987854251
2001-04-01,PHP,Philippines,59.0,50.3,1.17296222664016
2001-04-01,PLN,Poland,5.9,4.03,1.4640198511166298
2001-04-01,RUB,Russia,35.0,28.9,1.2110726643598602
2001-04-01,SGD,Singapore,3.3,1.81,1.8232044198895
2001-04-01,SEK,Sweden,24.0,10.28,2.33463035019455
2001-04-01,THB,Thailand,55.0,45.5,1.2087912087912098
2001-04-01,TWD,Taiwan,70.0,32.9,2.1276595744680904
2001-04-01,USD,United States,2.54,1.0,2.54
2001-04-01,ZAR,South Africa,9.7,8.13,1.19311193111931
2002-04-01,ARS,Argentina,2.5,3.13,0.7987220447284351
2002-04-01,AUD,Australia,3.0,1.86,1.61290322580645
2002-04-01,BRL,Brazil,3.6,2.34,1.53846153846154
2002-04-01,CAD,Canada,3.33,1.57,2.12101910828025
2002-04-01,CHF,Switzerland,6.3,1.66,3.79518072289157
2002-04-01,CLP,Chile,1400.0,655.0,2.13740458015267
2002-04-01,CNY,China,10.5,8.28,1.26811594202899
2002-04-01,CZK,Czech Republic,56.28,34.0,1.65529411764706
2002-04-01,DKK,Denmark,24.75,8.38,2.9534606205250604
2002-04-01,EUR,Euro area,2.67,1.123595506,2.37629999919206
2002-04-01,GBP,Britain,1.99,0.689655172,2.8855000017313
2002-04-01,HKD,Hong Kong,11.2,8.0,1.4
2002-04-01,HUF,Hungary,459.0,272.0,1.6875
2002-04-01,IDR,Indonesia,16000.0,9430.0,1.69671261930011
2002-04-01,ILS,Israel,12.0,4.79,2.50521920668058
2002-04-01,JPY,Japan,262.0,130.0,2.01538461538462
2002-04-01,KRW,South Korea,3100.0,1304.0,2.37730061349693
2002-04-01,MXN,Mexico,21.9,9.28,2.35991379310345
2002-04-01,MYR,Malaysia,5.04,3.8,1.32631578947368
2002-04-01,NOK,Norway,35.0,8.56,4.088785046728971
2002-04-01,NZD,New Zealand,3.6,2.24,1.60714285714286
2002-04-01,PEN,Peru,8.5,3.43,2.47813411078717
2002-04-01,PHP,Philippines,65.0,51.0,1.27450980392157
2002-04-01,PLN,Poland,5.9,4.04,1.46039603960396
2002-04-01,RUB,Russia,39.0,31.2,1.25
2002-04-01,SGD,Singapore,3.3,1.82,1.81318681318681
2002-04-01,SEK,Sweden,26.0,10.4,2.5
2002-04-01,THB,Thailand,55.0,43.3,1.270207852194
2002-04-01,TRY,Turkey,4000000.0,1324500.0,3.02000755001888
2002-04-01,TWD,Taiwan,70.0,34.8,2.01149425287356
2002-04-01,USD,United States,2.49,1.0,2.49
2002-04-01,ZAR,South Africa,9.7,10.9,0.8899082568807339
2003-04-01,ARS,Argentina,4.1,2.88,1.42361111111111
2003-04-01,AUD,Australia,3.0,1.61,1.86335403726708
2003-04-01,BRL,Brazil,4.55,3.07,1.48208469055375
2003-04-01,CAD,Canada,3.2,1.45,2.20689655172414
2003-04-01,CHF,Switzerland,6.3,1.37,4.5985401459854005
2003-04-01,CLP,Chile,1400.0,716.0,1.9553072625698305
2003-04-01,CNY,China,9.9,8.28,1.19565217391304
2003-04-01,CZK,Czech Republic,56.57,28.9,1.95743944636678
2003-04-01,DKK,Denmark,27.75,6.78,4.0929203539823
2003-04-01,EGP,Egypt,8.0,5.92,1.35135135135135
