"Carrier","FlightNo","Destination","DepartTime","FlightLength","Delay","Delayed30"
"UA",403,"DEN","4-8am",281,-1,"No"
"UA",405,"DEN","8-Noon",277,102,"Yes"
"UA",409,"DEN","4-8pm",279,4,"No"
"UA",511,"ORD","8-Noon",158,-2,"No"
"UA",667,"ORD","4-8am",143,-3,"No"
"UA",669,"ORD","4-8am",150,0,"No"
"UA",673,"ORD","8-Noon",158,-5,"No"
"UA",677,"ORD","8-Noon",160,0,"No"
"UA",679,"ORD","Noon-4pm",160,10,"No"
"UA",681,"ORD","Noon-4pm",163,60,"Yes"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,32,"Yes"
"UA",687,"ORD","4-8pm",160,0,"No"
"UA",689,"ORD","4-8pm",160,44,"Yes"
"UA",691,"ORD","4-8pm",160,52,"Yes"
"UA",693,"ORD","4-8pm",160,88,"Yes"
"UA",695,"ORD","8-Mid",160,91,"Yes"
"UA",745,"DEN","Noon-4pm",277,35,"Yes"
"UA",835,"ORD","8-Noon",160,-4,"No"
"UA",847,"IAD","4-8pm",92,-1,"No"
"UA",403,"DEN","4-8am",281,-9,"No"
"UA",405,"DEN","8-Noon",274,-4,"No"
"UA",511,"ORD","8-Noon",160,-8,"No"
"UA",669,"ORD","4-8am",160,-8,"No"
"UA",677,"ORD","8-Noon",163,1,"No"
"UA",681,"ORD","Noon-4pm",160,-6,"No"
"UA",683,"ORD","Noon-4pm",148,-8,"No"
"UA",685,"ORD","Noon-4pm",160,14,"No"
"UA",689,"ORD","4-8pm",163,-17,"No"
"UA",691,"ORD","4-8pm",163,-4,"No"
"UA",745,"DEN","Noon-4pm",277,38,"Yes"
"UA",835,"ORD","8-Noon",158,0,"No"
"UA",847,"IAD","4-8pm",68,-9,"No"
"UA",403,"DEN","4-8am",281,1,"No"
"UA",405,"DEN","8-Noon",257,-3,"No"
"UA",409,"DEN","4-8pm",279,-5,"No"
"UA",511,"ORD","8-Noon",144,-6,"No"
"UA",673,"ORD","8-Noon",148,-3,"No"
"UA",677,"ORD","8-Noon",160,-8,"No"
"UA",679,"ORD","8-Noon",160,-4,"No"
"UA",681,"ORD","Noon-4pm",160,45,"Yes"
"UA",683,"ORD","Noon-4pm",160,-8,"No"
"UA",685,"ORD","Noon-4pm",160,-5,"No"
"UA",687,"ORD","4-8pm",160,-5,"No"
