"acrePrice","region","improvements","year","acres","tillable","financing","crpPct","productivity"
766,"Central",0,2002,82,94,"title_transfer",0,NA
733,"Central",0,2003,30,63,"title_transfer",0,NA
850,"Central",4,2002,150,47,"title_transfer",0,NA
975,"Central",0,2003,160,86,"title_transfer",0,NA
886,"Central",62,2002,90,NA,"title_transfer",0,NA
992,"Central",30,2003,120,83,"title_transfer",0,NA
623,"Central",0,2003,170,42,"title_transfer",0,NA
1382,"Central",41,2003,100,35,"title_transfer",0,NA
855,"Central",0,2003,120,46,"title_transfer",0,NA
364,"Central",0,2003,160,10,"title_transfer",0,NA
807,"Central",13,2003,158,29,"title_transfer",0,NA
473,"Central",0,2003,83,36,"title_transfer",0,NA
2078,"Central",51,2003,160,14,"title_transfer",0,NA
825,"Central",29,2002,189,71,"title_transfer",0,NA
895,"Central",0,2003,160,97,"title_transfer",0,NA
1410,"Central",32,2003,80,45,"title_transfer",0,NA
839,"Central",0,2003,75,57,"title_transfer",0,NA
705,"Central",0,2002,37,92,"title_transfer",0,NA
917,"Central",0,2003,123,49,"seller_financed",0,NA
770,"Central",25,2003,290,67,"title_transfer",0,NA
1021,"Central",7,2003,80,56,"title_transfer",0,NA
880,"Central",0,2003,220,34,"title_transfer",0,NA
1041,"Central",0,2003,80,72,"title_transfer",0,NA
3028,"Central",59,2003,40,45,"title_transfer",0,NA
862,"Central",22,2003,160,84,"title_transfer",0,NA
1003,"Central",15,2003,80,82,"seller_financed",0,NA
409,"Central",0,2002,231,45,"seller_financed",0,NA
850,"Central",0,2004,120,90,"title_transfer",0,NA
842,"Central",0,2003,152,94,"title_transfer",0,NA
1328,"Central",0,2004,660,87,"title_transfer",0,NA
983,"Central",0,2004,80,68,"title_transfer",0,NA
611,"Central",0,2003,198,34,"title_transfer",0,NA
1101,"Central",0,2004,159,58,"title_transfer",0,NA
1370,"Central",0,2004,73,96,"title_transfer",0,NA
4434,"Central",65,2004,36,64,"title_transfer",0,NA
2317,"Central",6,2004,101,60,"title_transfer",0,NA
946,"Central",0,2004,119,24,"title_transfer",0,NA
1675,"Central",35,2004,80,61,"title_transfer",0,NA
1371,"Central",2,2004,286,92,"title_transfer",0,NA
1382,"Central",0,2004,543,90,"title_transfer",0,NA
3984,"Central",0,2004,158,92,"title_transfer",0,NA
1116,"Central",0,2004,120,78,"title_transfer",0,NA
1705,"Central",0,2004,38,26,"title_transfer",0,NA
700,"Central",0,2003,60,33,"title_transfer",0,NA
891,"Central",18,2004,80,26,"title_transfer",0,NA
1480,"Central",3,2004,75,40,"title_transfer",0,NA
2546,"Central",32,2004,75,60,"title_transfer",0,NA
784,"Central",0,2003,40,92,"title_transfer",0,NA
1124,"Central",0,2004,71,79,"title_transfer",0,NA
1488,"Central",0,2004,40,48,"title_transfer",0,NA
1399,"Central",0,2004,328,95,"title_transfer",0,NA
689,"Central",0,2004,147,81,"seller_financed",0,NA
1218,"Central",25,2004,101,67,"title_transfer",0,NA
1071,"Central",0,2004,14,71,"title_transfer",0,NA
1539,"Central",0,2003,115,66,"seller_financed",0,NA
998,"Central",0,2004,98,46,"seller_financed",0,NA
744,"Central",0,2004,117,77,"title_transfer",0,NA
957,"Central",0,2004,80,91,"title_transfer",0,NA
1420,"Central",30,2004,120,72,"title_transfer",0,NA
1266,"Central",26,2004,80,NA,"title_transfer",0,NA
1024,"Central",0,2004,78,42,"title_transfer",0,NA
866,"Central",0,2004,40,NA,"title_transfer",0,NA
944,"Central",0,2004,71,NA,"title_transfer",0,NA
2366,"Central",0,2004,41,78,"title_transfer",0,NA
875,"Central",0,2003,78,NA,"title_transfer",0,NA
2662,"Central",0,2004,160,44,"title_transfer",0,NA
806,"Central",4,2004,720,81,"seller_financed",0,NA
890,"Central",0,2004,160,41,"title_transfer",0,NA
681,"Central",3,2004,71,NA,"title_transfer",0,NA
1240,"Central",31,2003,80,38,"seller_financed",0,NA
1045,"Central",0,2004,119,55,"seller_financed",0,NA
158,"Central",0,2004,250,11,"title_transfer",0,NA
847,"Central",0,2003,83,NA,"seller_financed",0,NA
1097,"Central",33,2004,160,50,"title_transfer",0,NA
409,"Central",0,2004,400,30,"title_transfer",0,NA
862,"Central",0,2003,110,30,"title_transfer",0,NA
1250,"Central",0,2005,225,99,"seller_financed",0,NA
2988,"Central",50,2005,62,31,"seller_financed",0,NA
900,"Central",0,2005,40,NA,"title_transfer",0,NA
2864,"Central",0,2005,101,NA,"seller_financed",0,NA
943,"Central",0,2004,211,91,"seller_financed",0,NA
1712,"Central",0,2004,152,3,"title_transfer",0,NA
956,"Central",1,2005,149,44,"title_transfer",0,NA
867,"Central",0,2004,79,81,"title_transfer",0,NA
1122,"Central",0,2005,123,62,"title_transfer",0,NA
481,"Central",0,2005,51,NA,"title_transfer",0,NA
3182,"Central",69,2005,40,75,"title_transfer",0,NA
1356,"Central",0,2005,36,89,"title_transfer",0,NA
1362,"Central",0,2005,355,90,"title_transfer",0,NA
982,"Central",2,2005,218,87,"title_transfer",0,NA
10790,"Central",0,2005,5,NA,"title_transfer",0,NA
11990,"Central",0,2005,5,NA,"title_transfer",0,NA
1524,"Central",0,2005,17,88,"title_transfer",0,NA
2000,"Central",0,2005,20,75,"title_transfer",0,NA
3263,"Central",49,2004,40,60,"title_transfer",0,NA
1325,"Central",9,2005,120,43,"seller_financed",0,NA
3003,"Central",26,2004,75,63,"title_transfer",0,NA
2184,"Central",0,2005,98,74,"title_transfer",0,NA
947,"Central",0,2005,97,96,"title_transfer",0,NA
2842,"Central",21,2004,119,41,"title_transfer",0,NA
1500,"Central",0,2005,60,83,"title_transfer",0,NA
1239,"Central",0,2005,80,92,"title_transfer",0,NA
4057,"Central",73,2005,71,46,"title_transfer",0,NA
1227,"Central",0,2005,74,31,"title_transfer",0,NA
3433,"Central",54,2005,41,66,"title_transfer",0,NA
2686,"Central",45,2005,41,78,"title_transfer",0,NA
1086,"Central",0,2005,88,66,"seller_financed",0,NA
1207,"Central",0,2005,35,74,"title_transfer",0,NA
2652,"Central",5,2005,40,42,"title_transfer",0,NA
2487,"Central",0,2005,45,22,"title_transfer",0,NA
1339,"Central",0,2005,110,NA,"title_transfer",0,NA
1142,"Central",0,2004,160,96,"title_transfer",0,NA
1250,"Central",0,2005,40,NA,"title_transfer",0,NA
1665,"Central",22,2005,134,58,"title_transfer",0,NA
1841,"Central",47,2005,80,40,"title_transfer",0,NA
6325,"Central",83,2005,40,100,"title_transfer",0,NA
525,"Central",0,2005,91,NA,"title_transfer",0,NA
725,"Central",0,2004,80,8,"seller_financed",0,NA
1855,"Central",20,2005,160,32,"title_transfer",0,NA
1259,"Central",0,2005,217,99,"title_transfer",0,NA
780,"Central",0,2005,204,39,"title_transfer",0,NA
901,"Central",0,2006,51,98,"title_transfer",0,NA
4593,"Central",63,2006,36,33,"title_transfer",0,NA
1667,"Central",15,2006,333,36,"title_transfer",0,NA
2000,"Central",0,2006,10,80,"title_transfer",0,NA
1519,"Central",0,2006,39,51,"title_transfer",0,NA
942,"Central",4,2005,150,56,"title_transfer",0,NA
677,"Central",0,2006,115,62,"title_transfer",0,NA
4982,"Central",64,2006,36,42,"title_transfer",0,NA
3424,"Central",49,2005,64,NA,"title_transfer",0,NA
4179,"Central",64,2005,76,18,"title_transfer",0,NA
1768,"Central",0,2006,46,NA,"title_transfer",0,NA
1139,"Central",0,2006,78,51,"title_transfer",0,NA
1694,"Central",14,2006,115,45,"title_transfer",0,NA
2043,"Central",0,2006,40,58,"title_transfer",0,NA
2043,"Central",0,2006,40,30,"title_transfer",0,NA
1202,"Central",0,2006,40,55,"title_transfer",0,NA
5550,"Central",54,2006,39,44,"title_transfer",0,NA
847,"Central",0,2006,40,NA,"title_transfer",0,NA
2817,"Central",27,2005,110,54,"title_transfer",0,NA
1498,"Central",0,2006,65,60,"seller_financed",0,NA
974,"Central",0,2006,209,81,"seller_financed",0,NA
2311,"Central",22,2006,141,32,"title_transfer",0,NA
1872,"Central",0,2006,40,98,"title_transfer",0,NA
1351,"Central",0,2005,80,60,"seller_financed",0,NA
1146,"Central",0,2006,161,99,"title_transfer",0,NA
1862,"Central",0,2005,60,58,"seller_financed",0,NA
1742,"Central",0,2006,40,72,"title_transfer",0,NA
1263,"Central",0,2006,38,92,"title_transfer",0,NA
1872,"Central",20,2006,98,43,"seller_financed",0,NA
1597,"Central",7,2006,40,58,"title_transfer",0,NA
1724,"Central",0,2006,80,48,"title_transfer",0,NA
772,"Central",0,2005,80,70,"seller_financed",0,NA
2889,"Central",64,2006,59,24,"seller_financed",0,NA
1671,"Central",21,2006,80,44,"title_transfer",0,NA
1677,"Central",0,2006,76,30,"title_transfer",0,NA
1763,"Central",0,2006,65,94,"title_transfer",0,NA
1069,"Central",0,2006,75,53,"title_transfer",0,NA
1086,"Central",0,2006,40,65,"title_transfer",0,NA
968,"Central",0,2006,152,68,"title_transfer",0,NA
1526,"Central",25,2005,400,46,"title_transfer",0,NA
2285,"Central",38,2006,100,26,"title_transfer",0,NA
776,"Central",0,2006,158,54,"title_transfer",0,NA
1802,"Central",0,2006,77,86,"title_transfer",0,NA
935,"Central",0,2006,98,95,"title_transfer",0,NA
1482,"Central",0,2006,160,99,"title_transfer",0,NA
1853,"Central",10,2006,77,NA,"title_transfer",0,NA
1238,"Central",0,2006,160,96,"title_transfer",0,60
1500,"Central",0,2007,160,96,"title_transfer",0,65
1373,"Central",0,2007,160,97,"title_transfer",0,63
4235,"Central",41,2007,94,36,"title_transfer",0,NA
1298,"Central",0,2006,145,47,"title_transfer",0,NA
1629,"Central",0,2006,45,NA,"title_transfer",0,NA
3571,"Central",52,2006,38,61,"title_transfer",0,NA
2768,"Central",0,2007,56,39,"title_transfer",0,NA
1147,"Central",0,2006,82,65,"title_transfer",0,58
1055,"Central",0,2007,189,81,"title_transfer",0,33
996,"Central",0,2007,40,45,"title_transfer",0,59
2194,"Central",41,2007,80,28,"title_transfer",0,55
1034,"Central",0,2006,155,96,"title_transfer",0,64
1486,"Central",0,2006,120,21,"title_transfer",0,25
1519,"Central",6,2007,118,69,"title_transfer",0,44
1592,"Central",1,2007,50,42,"title_transfer",0,20
1404,"Central",17,2007,275,32,"title_transfer",0,38
2361,"Central",30,2007,40,38,"title_transfer",0,38
1547,"Central",19,2007,209,35,"seller_financed",0,NA
2086,"Central",0,2007,40,NA,"title_transfer",0,NA
1167,"Central",0,2007,184,95,"seller_financed",0,NA
1143,"Central",0,2007,157,85,"seller_financed",0,NA
2000,"Central",0,2007,20,75,"title_transfer",0,57
2676,"Central",0,2007,88,41,"seller_financed",0,NA
1965,"Central",0,2007,80,91,"title_transfer",0,NA
1964,"Central",0,2007,38,NA,"seller_financed",0,NA
998,"Central",0,2007,80,92,"title_transfer",0,NA
1774,"Central",0,2007,50,98,"title_transfer",0,66
1996,"Central",0,2007,40,85,"title_transfer",0,NA
1108,"Central",0,2007,106,79,"title_transfer",0,NA
3972,"Central",57,2007,41,56,"title_transfer",0,41
2057,"Central",19,2007,80,25,"title_transfer",0,50
2136,"Central",0,2007,93,25,"title_transfer",0,NA
966,"Central",0,2007,361,75,"title_transfer",0,NA
1226,"Central",0,2007,132,33,"title_transfer",0,30
1323,"Central",0,2006,80,81,"title_transfer",0,NA
1724,"Central",2,2007,71,99,"title_transfer",0,37
1577,"Central",0,2007,120,89,"title_transfer",0,NA
1723,"Central",0,2007,45,62,"title_transfer",0,NA
1123,"Central",0,2006,90,NA,"title_transfer",0,NA
990,"Central",0,2006,80,66,"title_transfer",0,33
2861,"Central",43,2007,40,35,"title_transfer",0,24
1634,"Central",0,2007,210,53,"seller_financed",0,16
1547,"Central",0,2006,170,42,"title_transfer",0,NA
3000,"Central",0,2007,20,30,"title_transfer",0,14
1377,"Central",0,2007,202,41,"title_transfer",0,NA
1222,"Central",0,2008,200,81,"title_transfer",0,58
1363,"Central",0,2008,79,20,"title_transfer",20,18
791,"Central",0,2007,40,NA,"title_transfer",0,NA
1132,"Central",0,2008,159,43,"title_transfer",0,64
3131,"Central",34,2008,80,58,"title_transfer",0,45
1551,"Central",1,2007,51,NA,"title_transfer",0,NA
2816,"Central",0,2008,60,10,"seller_financed",0,NA
1621,"Central",22,2008,153,57,"title_transfer",0,31
1980,"Central",0,2007,135,74,"title_transfer",0,62
1370,"Central",0,2007,40,72,"title_transfer",0,67
1667,"Central",0,2008,18,17,"title_transfer",0,20
1374,"Central",0,2008,40,80,"title_transfer",0,58
1586,"Central",0,2008,142,89,"seller_financed",0,65
1488,"Central",0,2008,80,60,"seller_financed",0,39
4989,"Central",64,2007,49,29,"seller_financed",0,42
3762,"Central",40,2008,311,34,"seller_financed",0,64
5162,"Central",0,2008,59,61,"title_transfer",0,NA
1394,"Central",21,2008,113,88,"title_transfer",0,18
1648,"Central",0,2008,80,95,"title_transfer",0,34
3750,"Central",0,2007,8,NA,"title_transfer",0,NA
2041,"Central",0,2007,124,89,"title_transfer",0,67
2497,"Central",0,2008,80,32,"title_transfer",0,27
1706,"Central",0,2008,36,39,"title_transfer",0,NA
1858,"Central",27,2008,160,46,"title_transfer",0,72
1608,"Central",3,2007,77,22,"title_transfer",0,24
1343,"Central",0,2007,140,40,"title_transfer",0,27
1746,"Central",21,2008,160,63,"title_transfer",0,26
1218,"Central",0,2008,80,70,"seller_financed",0,20
1243,"Central",0,2008,382,77,"title_transfer",0,66
1489,"Central",0,2008,120,98,"seller_financed",0,65
1333,"Central",0,2007,140,69,"seller_financed",0,NA
1447,"Central",0,2008,169,17,"title_transfer",0,36
2395,"Central",40,2007,80,64,"title_transfer",0,34
1489,"Central",0,2008,138,79,"title_transfer",0,NA
1984,"Central",14,2008,160,29,"title_transfer",0,75
1190,"Central",0,2008,40,92,"title_transfer",0,28
1864,"Central",0,2007,101,21,"seller_financed",0,30
2382,"Central",44,2008,76,61,"title_transfer",0,62
2019,"Central",0,2008,55,11,"title_transfer",0,70
1379,"Central",0,2008,116,78,"title_transfer",0,NA
2004,"Central",0,2009,47,83,"title_transfer",0,58
1526,"Central",0,2009,38,66,"title_transfer",0,22
1548,"Central",0,2009,42,69,"title_transfer",0,33
987,"Central",0,2008,45,73,"title_transfer",0,NA
1500,"Central",5,2008,40,75,"title_transfer",0,48
1800,"Central",0,2009,37,78,"title_transfer",0,45
1044,"Central",0,2008,161,78,"seller_financed",0,29
584,"Central",0,2009,317,47,"title_transfer",0,NA
1553,"Central",25,2009,157,61,"title_transfer",0,NA
1922,"Central",36,2009,110,49,"title_transfer",0,NA
1733,"Central",15,2009,120,64,"title_transfer",0,30
1486,"Central",0,2009,111,81,"title_transfer",0,NA
2048,"Central",0,2010,42,74,"seller_financed",0,NA
1552,"Central",0,2009,116,78,"title_transfer",0,57
1406,"Central",0,2009,320,61,"title_transfer",61,NA
2021,"Central",57,2010,94,76,"title_transfer",33,NA
717,"Central",NA,2010,103,NA,"title_transfer",0,NA
2329,"Central",0,2010,322,93,"title_transfer",0,NA
2034,"Central",0,2010,118,25,"title_transfer",0,NA
3135,"Central",0,2009,140,96,"title_transfer",0,NA
1922,"Central",0,2010,204,97,"title_transfer",0,NA
1900,"Central",22,2010,80,100,"title_transfer",0,NA
1650,"Central",0,2009,60,58,"title_transfer",50,NA
1368,"Central",0,2010,95,57,"title_transfer",0,NA
1512,"Central",0,2010,43,70,"title_transfer",0,NA
2960,"Central",46,2010,50,50,"title_transfer",0,NA
2700,"Central",55,2009,70,13,"title_transfer",0,NA
1467,"Central",100,2010,46,13,"title_transfer",0,NA
879,"Central",0,2010,91,88,"title_transfer",0,NA
2400,"Central",0,2009,200,92,"title_transfer",0,NA
3000,"Central",0,2010,40,95,"title_transfer",0,NA
2700,"Central",0,2010,160,91,"title_transfer",0,NA
4794,"Central",60,2011,50,54,"title_transfer",0,NA
2471,"Central",0,2011,235,82,"title_transfer",0,NA
1833,"Central",22,2011,120,78,"title_transfer",0,NA
1717,"Central",24,2011,93,95,"title_transfer",0,NA
1802,"Central",0,2011,40,78,"title_transfer",0,NA
1400,"Central",0,2011,40,60,"title_transfer",0,NA
1567,"Central",0,2010,155,54,"seller_financed",0,NA
1417,"Central",8,2011,120,72,"title_transfer",0,NA
2752,"Central",25,2011,150,85,"seller_financed",0,NA
2030,"Central",0,2011,240,85,"seller_financed",0,NA
1252,"Central",0,2011,190,84,"title_transfer",0,NA
1860,"Central",40,2011,80,54,"title_transfer",0,NA
1600,"Central",0,2011,40,88,"title_transfer",0,NA
1420,"Central",18,2011,162,83,"title_transfer",0,NA
1600,"Central",4,2010,80,54,"title_transfer",0,NA
1550,"Central",0,2010,120,19,"title_transfer",0,NA
1650,"South Central",0,2002,20,50,"title_transfer",0,NA
3045,"South Central",42,2003,74,45,"title_transfer",0,NA
1440,"South Central",0,2003,79,77,"seller_financed",0,NA
1960,"South Central",0,2003,122,89,"title_transfer",0,NA
1598,"South Central",13,2003,80,42,"title_transfer",0,NA
2195,"South Central",0,2002,20,50,"title_transfer",0,NA
