"age","height","income"
22,75,21260
35,70,80000
38,68,20789
23,71,20000
29,66,20416
29,67,21197
32,65,20357
31,65,20644
24,67,20530
37,65,20235
35,70,19703
28,72,40000
24,72,21827
30,66,30000
29,62,50000
39,65,19123
33,70,19739
26,64,19859
31,71,21244
33,72,22100
27,67,20664
22,67,21221
30,69,20392
30,71,20687
33,73,22711
28,70,19547
22,72,21318
22,67,20099
30,74,20109
32,68,22144
27,64,20109
27,72,22270
38,67,22539
20,60,20772
27,69,20481
26,69,20344
32,69,21244
25,69,21740
27,63,20562
35,74,22596
30,76,21011
35,72,20900
30,75,21528
40,71,60000
29,66,21458
27,69,21635
27,73,20942
28,70,20035
31,67,1e+06
26,66,20018
33,66,21216
38,65,21320
31,69,21407
36,69,19462
33,69,21411
33,70,20043
26,71,23089
21,72,21373
22,70,18397
31,71,21155
31,67,20502
35,75,20057
31,70,21427
28,67,20977
28,72,22501
29,68,20231
22,65,20000
30,66,22520
31,69,20337
29,76,23433
25,62,22394
33,67,20676
35,73,150000
31,61,50000
28,72,21596
29,67,20861
26,72,20402
25,65,21085
34,67,20508
21,71,20000
28,67,21672
31,69,21212
34,69,1e+05
32,64,18944
30,73,22349
28,68,21266
40,66,20512
27,61,20510
43,71,19118
37,64,23994
24,74,20596
29,74,20826
29,67,50000
28,69,21722
29,67,40000
25,78,80000
34,75,21549
39,70,19816
31,66,20823
46,72,19904
38,71,19910
30,68,20390
41,69,1e+06
39,70,1e+05
31,63,22292
42,65,21020
45,64,20135
21,72,5e+05
28,64,21195
29,66,21260
36,68,20979
28,71,20779
24,74,20824
23,66,20000
36,70,20854
35,72,21463
18,68,20576
55,67,19663
21,65,20499
28,66,20288
24,71,19710
50,75,21289
23,66,22290
21,70,1e+06
27,62,22139
27,68,150000
43,73,20859
27,68,150000
26,71,21571
26,66,22662
30,69,21660
32,68,20267
43,68,21157
39,68,19958
22,68,20634
33,67,20462
24,75,21586
50,73,80000
32,67,20371
23,73,22116
32,62,21403
59,73,80000
36,73,20962
29,74,20489
39,63,20734
24,67,60000
28,70,21722
50,66,80000
32,64,21007
41,67,20758
50,63,20689
44,68,21409
48,68,20212
24,75,22577
26,73,21014
29,61,19795
40,62,21925
29,68,20195
54,69,21587
20,63,20376
51,62,20138
33,66,20661
28,66,19703
37,66,19944
20,72,22492
30,74,20549
36,72,21339
26,63,20000
26,68,70000
33,66,21169
20,66,19397
31,70,22450
62,73,20353
33,63,22678
22,69,21665
46,66,20233
27,68,20123
29,72,250000
36,68,22006
25,71,21104
32,69,23213
21,66,20000
27,68,19915
38,70,18711
27,74,30000
44,63,21140
52,66,20811
33,60,20573
28,67,150000
37,79,50000
28,61,20000
32,69,23135
29,69,20137
31,67,20523
42,71,150000
32,63,21695
28,67,19786
38,63,20435
27,64,23125
19,62,20768
27,65,80000
28,67,20442
29,66,21911
31,63,21536
27,63,19739
43,69,21839
43,71,22517
24,69,21435
34,67,21141
30,66,20693
59,62,20206
33,72,20657
41,69,21213
58,69,19338
24,59,21041
39,74,23201
33,70,1e+06
43,65,22197
29,70,60000
28,66,21907
21,70,21654
35,64,20310
32,69,19844
42,63,22210
23,62,20000
30,68,20201
27,71,21544
41,71,20942
33,69,22986
58,70,21308
26,72,19872
50,66,21172
45,65,21002
66,65,40000
33,68,80000
32,68,21396
53,62,1e+05
28,72,20503
22,63,21308
19,73,22878
35,67,30000
51,65,21460
30,69,60000
29,80,80000
32,61,1e+05
45,63,19955
28,73,30000
36,63,20950
40,71,20642
34,62,60000
24,68,21701
39,72,50000
33,65,20722
26,67,20387
36,67,80000
46,68,20744
21,67,21986
63,67,18524
30,62,20707
50,63,20848
50,64,70000
34,72,21549
40,62,18933
46,66,19368
41,67,20632
29,62,21712
53,69,20436
39,69,80000
39,64,21325
24,62,21574
26,70,20173
25,64,21840
59,63,19836
28,67,20077
29,68,21963
35,67,21255
25,65,21892
36,67,19905
42,64,80000
25,71,20098
27,80,22296
45,60,20792
37,71,20131
47,69,50000
24,67,20563
53,64,19056
26,62,20500
49,63,20580
24,61,20097
19,69,21017
26,76,20000
30,70,22871
26,72,21837
36,63,19860
24,69,23051
47,72,21132
51,70,21337
28,73,80000
48,62,19191
37,62,20283
47,72,20833
34,66,1e+06
37,65,21785
25,70,21751
32,71,21692
42,71,22028
33,64,40000
34,63,20732
42,75,20000
29,70,21184
55,73,23418
32,68,60000
25,69,19766
31,64,22358
45,68,80000
39,68,21214
50,74,22266
29,61,20397
50,66,21107
43,62,21431
63,67,22055
35,72,19609
19,67,20707
62,64,20471
44,68,21141
30,63,20653
24,69,20493
40,68,21613
63,65,19832
45,66,1e+05
53,62,19829
36,72,21584
22,70,40000
19,69,23241
32,64,20063
61,63,70000
20,60,21347
34,65,150000
34,67,20137
36,72,20648
29,71,20930
30,73,22041
40,68,21852
28,62,20698
20,69,18698
40,71,20995
43,66,21535
19,72,19564
60,68,21436
66,73,21291
39,67,21631
28,75,20837
34,74,21709
32,74,20000
34,68,40000
29,64,21091
26,75,21457
43,63,20739
44,65,21679
32,72,30000
37,68,21889
30,69,20610
26,73,20983
23,70,22898
31,69,19307
34,73,70000
48,69,70000
35,71,19972
25,73,20546
27,63,22360
27,67,21201
22,64,22111
35,71,50000
26,72,19996
32,74,21294
32,72,40000
23,71,20605
40,64,21195
47,66,21571
31,74,40000
30,68,21471
25,70,21618
33,68,20546
54,76,21124
30,72,18341
45,70,1e+05
30,67,20123
49,64,18915
32,68,20210
24,66,20152
57,69,19690
41,72,21459
37,61,20939
35,74,21166
40,64,21514
50,66,22074
40,73,19394
37,76,20000
60,71,21181
47,69,21385
29,71,20524
29,71,30000
22,91,150000
44,74,19835
57,62,23185
43,67,20848
20,62,21416
29,71,20747
30,70,60000
25,72,150000
39,72,21178
41,64,20105
30,72,50000
23,68,21415
49,68,20011
59,71,20782
39,66,18003
38,67,20820
59,68,20990
26,61,20689
33,73,20360
46,71,20019
36,71,22191
40,64,22710
29,72,20037
30,67,20878
30,65,21080
33,74,19623
29,68,21315
23,61,20610
33,71,21673
28,67,21022
31,65,20000
29,79,21923
44,61,21467
28,66,22047
47,76,60000
24,69,21324
28,70,20458
40,65,21577
24,72,19616
20,71,21793
39,71,21123
52,62,70000
39,70,21900
33,72,20271
26,70,21876
31,69,21371
27,71,20063
60,70,20974
52,65,20288
42,64,21401
31,68,21168
38,68,20214
26,67,21710
32,64,19770
40,72,22433
32,61,21981
31,64,30000
32,72,22661
22,64,21479
37,70,20839
33,63,21292
44,72,1e+05
18,66,20816
38,65,19554
23,64,20300
33,65,19899
24,64,19947
32,64,21845
27,63,19675
39,63,20758
47,66,1e+05
33,70,1e+05
38,70,19695
42,67,21488
42,70,22172
21,68,23585
35,73,1e+05
38,64,21464
34,64,22365
27,71,20743
29,71,21120
27,62,21157
23,67,20541
33,67,19730
25,70,250000
31,66,21575
24,72,20000
49,70,22115
23,72,20000
23,66,20000
22,63,20417
48,70,22251
27,71,22130
30,68,22006
59,64,60000
27,70,30000
24,68,20440
32,69,20898
24,74,20129
32,72,21028
30,75,1e+05
40,65,21612
18,73,20000
29,69,21370
32,62,19945
27,64,21386
56,68,21473
35,70,19815
20,67,20000
30,72,20410
43,69,19501
27,68,60000
30,71,20107
58,72,21412
31,68,20124
34,72,21853
41,75,19802
27,67,21020
37,68,21296
35,67,22597
26,73,21003
28,72,21307
32,76,60000
38,68,22804
42,72,22034
25,67,21972
34,66,20300
46,71,20405
31,69,50000
26,64,20000
37,75,50000
28,69,20395
21,67,21450
50,70,19942
24,71,22192
24,74,19421
32,69,21577
50,68,1e+05
33,60,23980
38,68,21617
49,70,21438
35,70,22428
20,60,20620
22,67,19110
32,83,70000
25,70,19849
26,59,21785
23,71,20000
43,77,18604
28,69,1e+05
44,76,19772
22,71,22193
31,68,22016
65,70,20342
36,70,19699
35,62,21289
40,70,20717
30,66,20066
26,72,20162
23,73,20960
27,68,20922
36,72,22662
41,66,20327
45,70,21714
48,68,19897
26,76,20651
23,67,30000
28,68,19525
29,74,20423
42,67,21642
33,60,21441
52,70,70000
25,63,30000
61,68,21329
28,71,21446
35,73,30000
34,72,20341
59,68,70000
31,77,22457
19,73,20000
29,68,20760
55,66,19678
45,65,21094
49,69,22075
21,71,20055
27,61,22464
24,68,21423
25,63,21655
44,63,22058
52,72,20536
30,66,40000
58,64,21442
33,63,22640
44,68,21357
31,69,19265
38,67,80000
47,63,21356
29,74,20159
28,68,21775
40,67,22592
64,67,20471
52,63,20000
37,64,21639
33,67,20628
58,72,21306
43,72,150000
27,65,19804
57,68,19835
64,69,60000
41,69,22062
35,74,1e+05
26,73,22592
52,72,20542
45,63,23527
24,68,22187
26,68,21284
25,75,21847
35,73,20964
25,68,19865
33,67,22254
41,73,1e+05
26,64,50000
27,71,20677
25,64,20936
39,63,21049
35,71,19432
30,64,20950
21,74,20894
48,69,21218
25,73,22438
27,71,20734
