"age","height","income"
22,75,-1
35,70,80000
38,68,-1
23,71,20000
29,66,-1
29,67,-1
32,65,-1
31,65,-1
24,67,-1
37,65,-1
35,70,-1
28,72,40000
24,72,-1
30,66,30000
29,62,50000
39,65,-1
33,70,-1
26,64,-1
31,71,-1
33,72,-1
27,67,-1
22,67,-1
30,69,-1
30,71,-1
33,73,-1
28,70,-1
22,72,-1
22,67,-1
30,74,-1
32,68,-1
27,64,-1
27,72,-1
38,67,-1
20,60,-1
27,69,-1
26,69,-1
32,69,-1
25,69,-1
27,63,-1
35,74,-1
30,76,-1
35,72,-1
30,75,-1
40,71,60000
29,66,-1
27,69,-1
27,73,-1
28,70,-1
31,67,1e+06
26,66,-1
33,66,-1
38,65,-1
31,69,-1
36,69,-1
33,69,-1
33,70,-1
26,71,-1
21,72,-1
22,70,-1
31,71,-1
31,67,-1
35,75,-1
31,70,-1
28,67,-1
28,72,-1
29,68,-1
22,65,20000
30,66,-1
31,69,-1
29,76,-1
25,62,-1
33,67,-1
35,73,150000
31,61,50000
28,72,-1
29,67,-1
26,72,-1
25,65,-1
34,67,-1
21,71,20000
28,67,-1
31,69,-1
34,69,1e+05
32,64,-1
30,73,-1
28,68,-1
40,66,-1
27,61,-1
43,71,-1
37,64,-1
24,74,-1
29,74,-1
29,67,50000
28,69,-1
29,67,40000
25,78,80000
34,75,-1
39,70,-1
31,66,-1
46,72,-1
38,71,-1
30,68,-1
41,69,1e+06
39,70,1e+05
31,63,-1
42,65,-1
45,64,-1
21,72,5e+05
28,64,-1
29,66,-1
36,68,-1
28,71,-1
24,74,-1
23,66,20000
36,70,-1
35,72,-1
18,68,-1
55,67,-1
21,65,-1
28,66,-1
24,71,-1
50,75,-1
23,66,-1
21,70,1e+06
27,62,-1
27,68,150000
43,73,-1
27,68,150000
26,71,-1
26,66,-1
30,69,-1
32,68,-1
43,68,-1
39,68,-1
22,68,-1
33,67,-1
24,75,-1
50,73,80000
32,67,-1
23,73,-1
32,62,-1
59,73,80000
36,73,-1
29,74,-1
39,63,-1
24,67,60000
28,70,-1
50,66,80000
32,64,-1
41,67,-1
50,63,-1
44,68,-1
48,68,-1
24,75,-1
26,73,-1
29,61,-1
40,62,-1
29,68,-1
54,69,-1
20,63,-1
51,62,-1
33,66,-1
28,66,-1
37,66,-1
20,72,-1
30,74,-1
36,72,-1
26,63,20000
26,68,70000
33,66,-1
20,66,-1
31,70,-1
62,73,-1
33,63,-1
22,69,-1
46,66,-1
27,68,-1
29,72,250000
36,68,-1
25,71,-1
32,69,-1
21,66,20000
27,68,-1
38,70,-1
27,74,30000
44,63,-1
52,66,-1
33,60,-1
28,67,150000
37,79,50000
28,61,20000
32,69,-1
29,69,-1
31,67,-1
42,71,150000
32,63,-1
28,67,-1
38,63,-1
27,64,-1
19,62,-1
27,65,80000
28,67,-1
29,66,-1
