"exp","wks","bluecol","ind","south","smsa","married","sex","union","ed","black","wage"
12,50,"yes",0,"no","yes","yes","male","no",13,"no",490
13,48,"yes",0,"no","yes","yes","male","no",13,"no",525
14,49,"yes",0,"no","yes","yes","male","no",13,"no",540
15,47,"yes",0,"no","yes","yes","male","no",13,"no",460
16,30,"yes",0,"no","yes","yes","male","no",13,"no",850
17,49,"yes",0,"no","no","no","male","no",13,"no",1050
18,47,"yes",0,"no","no","no","male","no",13,"no",935
4,50,"yes",1,"yes","no","yes","male","no",10,"no",475
5,49,"yes",1,"yes","no","yes","male","no",10,"no",600
6,47,"yes",1,"yes","no","yes","male","no",10,"no",825
7,47,"yes",1,"yes","no","yes","male","no",10,"no",725
8,47,"yes",1,"yes","no","yes","male","yes",10,"no",910
9,46,"yes",1,"yes","no","yes","male","yes",10,"no",1000
10,48,"yes",1,"yes","no","yes","male","yes",10,"no",1100
35,50,"yes",0,"no","no","yes","male","no",5,"no",419
36,50,"yes",0,"no","no","yes","male","no",5,"no",479
37,50,"yes",0,"no","no","yes","male","no",5,"no",460
38,50,"yes",0,"no","no","yes","male","no",5,"no",487
39,50,"yes",0,"no","no","yes","male","no",5,"no",319
40,48,"yes",0,"no","no","yes","male","no",5,"no",399
41,50,"yes",0,"no","no","yes","male","no",5,"no",400
18,39,"no",0,"no","yes","yes","male","yes",14,"no",998
19,37,"no",0,"no","yes","yes","male","yes",14,"no",998
20,44,"no",0,"no","yes","yes","male","yes",14,"no",1050
21,42,"no",0,"no","yes","yes","male","yes",14,"no",1200
22,42,"no",0,"no","yes","yes","male","yes",14,"no",1150
23,41,"no",0,"no","yes","yes","male","yes",14,"no",1250
24,36,"no",0,"no","yes","yes","male","yes",14,"no",1551
4,50,"yes",0,"yes","yes","no","female","no",12,"yes",245
5,52,"yes",0,"yes","yes","no","female","no",12,"yes",245
6,51,"yes",0,"yes","yes","no","female","no",12,"yes",285
7,50,"yes",0,"yes","yes","no","female","no",12,"yes",338
8,50,"yes",0,"yes","yes","no","female","no",12,"yes",365
9,50,"yes",0,"yes","yes","no","female","no",12,"yes",425
10,49,"yes",0,"yes","yes","no","female","no",12,"yes",465
25,50,"yes",1,"no","yes","yes","male","no",14,"no",880
26,47,"yes",1,"no","yes","yes","male","no",14,"no",998
27,48,"yes",1,"no","yes","yes","male","no",14,"no",1080
28,47,"yes",1,"no","yes","yes","male","no",14,"no",1198
29,46,"yes",1,"no","yes","yes","male","yes",14,"no",955
30,48,"yes",1,"no","yes","yes","male","yes",14,"no",1071
31,49,"yes",1,"no","yes","yes","male","yes",14,"no",1076
7,50,"yes",0,"yes","no","yes","male","no",13,"no",270
8,46,"yes",0,"yes","no","yes","male","no",13,"no",270
9,50,"yes",0,"yes","no","yes","male","no",13,"no",313
10,49,"yes",0,"yes","no","yes","male","no",13,"no",390
11,50,"yes",0,"yes","no","yes","male","no",13,"no",455
12,48,"yes",0,"yes","no","yes","male","no",13,"no",500
13,48,"yes",0,"yes","no","yes","male","no",13,"no",570
14,49,"no",1,"yes","no","yes","male","no",11,"no",377
15,50,"no",1,"yes","no","yes","male","no",11,"no",392
16,50,"no",1,"yes","no","yes","male","no",11,"no",452
17,51,"yes",1,"yes","no","yes","male","no",11,"no",522
18,51,"yes",0,"yes","no","yes","male","no",11,"no",580
19,51,"yes",0,"yes","no","yes","male","no",11,"no",605
20,51,"yes",0,"yes","no","yes","male","no",11,"no",650
3,49,"yes",0,"no","yes","no","male","yes",12,"yes",325
4,50,"yes",0,"no","yes","no","male","yes",12,"yes",400
5,52,"yes",0,"no","yes","no","male","yes",12,"yes",364
6,51,"yes",0,"no","yes","no","male","yes",12,"yes",341
7,49,"yes",0,"no","yes","no","male","yes",12,"yes",425
8,51,"yes",0,"no","yes","no","male","yes",12,"yes",525
9,49,"yes",0,"no","yes","no","male","yes",12,"yes",623
26,46,"yes",1,"no","yes","yes","male","yes",12,"no",587
27,49,"yes",1,"no","yes","yes","male","yes",12,"no",713
28,50,"yes",1,"no","yes","yes","male","yes",12,"no",690
29,50,"yes",0,"no","yes","yes","male","yes",12,"no",767
30,21,"yes",0,"no","yes","yes","male","no",12,"no",506
31,50,"yes",0,"no","yes","yes","male","no",12,"no",587
32,52,"yes",1,"no","yes","yes","male","yes",12,"no",986
17,51,"no",0,"no","no","no","male","yes",16,"no",750
