"vote" "income"
"1" 1 4
"2" 1 2
"3" NA NA
"4" 0 1
"5" 1 2
"6" 0 3
"7" 0 4
"8" 1 2
"9" 1 4
"10" NA NA
"11" NA NA
"12" 0 1
"13" 1 4
"14" 1 4
"15" 1 1
"16" NA NA
"17" 0 3
"18" NA NA
"19" NA NA
"20" 0 2
"21" 0 3
"22" 1 3
"23" 0 2
"24" 1 3
"25" 0 4
"26" 0 3
"27" 0 3
"28" 1 2
"29" 1 4
"30" NA NA
"31" 0 3
"32" 1 4
"33" NA NA
"34" 1 4
"35" 0 2
"36" 1 3
"37" 1 2
"38" NA NA
"39" 0 3
"40" 1 3
"41" 0 3
"42" NA NA
"43" 0 2
"44" 1 5
"45" 1 3
"46" 0 3
"47" 1 3
"48" 0 4
"49" 1 1
"50" 0 4
"51" 0 3
"52" 1 4
"53" 1 4
"54" 0 2
"55" 0 2
"56" 1 3
"57" 0 1
"58" 0 4
"59" 0 3
"60" 1 2
"61" 1 1
"62" 1 2
"63" NA NA
"64" NA NA
"65" 0 3
"66" 0 2
"67" NA NA
"68" 1 4
"69" NA NA
"70" 0 2
"71" 1 5
"72" 0 1
"73" NA NA
"74" NA NA
"75" 0 1
"76" NA NA
"77" NA NA
"78" NA NA
"79" 0 4
"80" 0 1
"81" 0 4
"82" 0 4
"83" 0 3
"84" 1 4
"85" 0 2
"86" 1 3
"87" 0 4
"88" 0 4
"89" NA NA
"90" 0 2
"91" 0 4
"92" 1 4
"93" 1 4
"94" NA NA
"95" 1 4
"96" 0 4
"97" 1 4
"98" 1 5
"99" 1 4
"100" 1 2
"101" 0 4
"102" 1 2
"103" 1 3
"104" 0 1
"105" NA NA
"106" 0 5
"107" 1 4
"108" 1 4
"109" 1 4
"110" 1 3
"111" 0 4
"112" 1 4
"113" 1 4
"114" 1 4
"115" 0 4
"116" 0 2
"117" NA NA
"118" 0 3
"119" NA NA
"120" 0 4
"121" 0 1
"122" 0 2
"123" 1 4
"124" 1 4
"125" 0 3
"126" 0 3
"127" 1 3
"128" 0 4
"129" 1 2
"130" 0 2
"131" NA NA
"132" NA NA
"133" NA NA
"134" 1 2
"135" 0 2
"136" NA NA
"137" 0 2
"138" 1 4
"139" 1 3
